time,downrange,altitude
0,0.0,0.4
1,0.00578217956426,0.6
2,0.00578217956426,0.6
3,0.00624366643311,0.7
4,0.00624366643311,0.8
5,0.00624366643311,0.9
6,0.00624366643311,1.0
7,0.00624366643311,1.1
8,0.00699499535721,1.2
9,0.0077463242813,1.3
10,0.00855699381665,1.4
11,0.00955261184536,1.5
12,0.00973756033872,1.6
13,0.00973756033872,1.8
14,0.00973756033872,1.9
15,0.00973756033872,2.0
16,0.0115571876661,2.2
17,0.0124670013298,2.3
18,0.0144042613214,2.5
19,0.0163415213131,2.7
20,0.0163415213131,2.8
21,0.0163415213131,3.0
22,0.0163415213131,3.2
23,0.0163415213131,3.4
24,0.0163415213131,3.6
25,0.021565401341,3.8
26,0.0323546050929,4.0
27,0.0449872809039,4.2
28,0.0626918565754,4.4
29,0.102179508475,4.7
30,0.18351364652,5.1
31,0.326978984121,5.6
32,0.395118266116,5.8
33,0.588735975838,6.3
34,0.71830958675,6.6
35,0.81045566458,6.8
36,1.06196736668,7.3
37,1.39649581105,7.9
38,1.51594129112,8.1
39,1.70327899401,8.4
40,1.89857596387,8.7
41,2.1014050147,9.0
42,2.31205678483,9.3
43,2.53060028202,9.6
44,2.75687773728,9.9
45,2.99096837766,10.2
46,3.23295013603,10.5
47,3.48270023831,10.8
48,3.82698695785,11.2
49,4.00590053842,11.4
50,4.3791562113,11.8
51,5.07853474999,12.5
52,5.39868380285,12.8
53,5.84392396954,13.2
54,6.30753110211,13.6
55,6.78950765756,14.0
56,7.29011881427,14.4
57,7.80916424018,14.8
58,8.34669615544,15.2
59,8.90301066718,15.6
60,9.47795239554,16.0
61,10.2200164419,16.5
62,10.8326979022,16.9
63,12.2753391649,17.8
64,13.1133187052,18.3
65,13.97645238,18.8
66,14.8651563108,19.3
67,15.7795828051,19.8
68,16.9082699435,20.4
69,17.8751519484,20.9
70,19.066529014,21.5
71,20.0859872383,22.0
72,21.3415200594,22.6
73,29.8085448519,26.3
74,31.3006621538,26.9
75,33.0826096265,27.6
76,34.9063470599,28.3
77,38.4107235376,29.6
78,42.6409120887,31.1
79,44.6822645041,31.8
80,47.0670550941,32.6
81,49.2001063756,33.3
82,51.3790907228,34.0
83,56.8444769263,35.7
84,59.5008841879,36.5
85,62.2148685393,37.3
86,64.986775692,38.1
87,68.170726831,39.0
88,71.0591186117,39.8
89,74.3749075858,40.7
90,77.3828344213,41.5
91,80.8357410205,42.4
92,84.3584971506,43.3
93,87.9528829971,44.2
94,91.619760872,45.1
95,95.7745569089,46.1
96,99.5871771705,47.0
97,103.906850639,48.0
98,107.870966666,48.9
99,112.361901176,49.9
100,116.940610828,50.9
101,121.608436337,51.9
102,131.217218814,53.9
103,136.156500273,54.9
104,141.683925829,56.0
105,146.791958658,57.0
106,152.502182025,58.1
107,158.303214934,59.2
108,164.195592746,60.3
109,170.181525979,61.4
110,176.261035346,62.5
111,181.87343405,63.5
112,188.772178554,64.7
113,195.237227548,65.8
114,201.745575335,66.9
115,208.307759883,68.0
116,215.577397442,69.2
117,222.961593968,70.4
118,229.83546057,71.5
119,237.446354733,72.7
120,245.166893316,73.9
121,253.650177965,75.2
122,261.589800874,76.4
123,269.590458387,77.6
124,277.602493233,78.8
125,294.325697298,81.3
126,302.369333021,82.5
127,310.424789506,83.7
128,317.819325393,84.8
129,325.893186042,86.0
130,333.969337762,87.2
131,341.373520691,88.3
132,349.451403094,89.5
133,356.856153451,90.6
134,364.934699987,91.8
135,372.341160879,92.9
