time,horizontal_speed,altitude
0,0.0,0.4
1,57.8217956426,0.6
2,9.229737377,0.6
3,0.0,0.7
4,0.0,0.8
5,0.0,0.9
6,0.0,1.0
7,0.0,1.1
8,15.0265784819,1.2
9,0.0,1.3
10,16.2133907069,1.4
11,3.6989698673,1.5
12,0.0,1.6
13,0.0,1.8
14,0.0,1.9
15,0.0,2.0
16,18.1962732735,2.2
17,0.0,2.3
18,19.3725999169,2.5
19,0.0,2.7
20,0.0,2.8
21,0.0,3.0
22,0.0,3.2
23,0.0,3.4
24,0.0,3.6
25,52.2388002792,3.8
26,55.6532372392,4.0
27,70.6735208706,4.2
28,106.372235845,4.4
29,156.878776822,4.7
30,249.7919134,5.1
31,324.069437004,5.6
32,357.323382946,5.8
33,417.147455943,6.3
34,446.676616805,6.6
35,474.784161488,6.8
36,531.262646908,7.3
37,583.832167665,7.9
38,610.622633056,8.1
39,638.295386165,8.4
40,663.684412955,8.7
41,688.509259197,9.0
42,715.835875044,9.3
43,741.120772884,9.6
44,767.395595505,9.9
45,793.208673679,10.2
46,820.003048775,10.5
47,844.997633133,10.8
48,876.435964575,11.2
49,912.699841131,11.4
50,953.578523248,11.8
51,1044.64587301,12.5
52,1089.68114602,12.8
53,1136.51968747,13.2
54,1181.51597535,13.6
55,1228.3668019,14.0
56,1274.68898167,14.4
57,1320.53814788,14.8
58,1367.1214284,15.2
59,1414.4511303,15.6
60,1460.25751154,16.0
61,1507.99867374,16.5
62,1555.40862798,16.9
63,1650.46084473,17.8
64,1701.45731654,18.3
65,1751.07738264,18.8
66,1803.73834023,19.3
67,1853.96763726,19.8
68,1908.32282384,20.4
69,1959.20519599,20.9
70,2012.0516892,21.5
71,2065.78120816,22.0
72,2119.32819544,22.6
73,2457.44196269,26.3
74,2516.28237684,26.9
75,2574.9961165,27.6
76,2635.68226461,28.3
77,2755.66616265,29.6
78,2884.58523882,31.1
79,2947.85023364,31.8
80,3014.12624155,32.6
81,3080.30599129,33.3
82,3145.36357199,34.0
83,3284.50254985,35.7
84,3356.51560402,36.5
85,3428.44527446,37.3
86,3501.32260724,38.1
87,3574.12436829,39.0
88,3646.85508349,39.8
89,3721.56485903,40.7
90,3798.25222964,41.5
91,3874.87354632,42.4
92,3953.47340955,43.3
