time,pressure,altitude
00:00:16,96610.25835137522,0.4
00:00:22,92074.75930156556,0.8
00:00:22,90968.27231802691,0.9
00:00:18,94320.4348442293,0.6
00:00:19,94320.4348442293,0.6
00:00:20,93192.11962292092,0.7
00:00:22,92074.75930156556,0.8
00:00:23,90968.27231802691,0.9
00:00:24,89872.57753193217,1.0
00:00:25,88787.59422345406,1.1
00:00:26,87713.24209209466,1.2
00:00:27,86649.44125546947,1.3
00:00:28,85596.11224809168,1.4
00:00:29,84553.17602015838,1.5
00:00:29,83520.55393633626,1.6
00:00:30,81485.9397247634,1.8
00:00:31,80483.79238778121,1.9
00:00:32,79491.6487740248,2.0
00:00:33,77537.06679872936,2.2
00:00:34,76574.47649525794,2.3
00:00:35,74678.32043954318,2.5
00:00:36,72820.36606542241,2.7
00:00:37,71905.52936831868,2.8
00:00:38,70103.77016608418,3.0
00:00:39,68338.74546841033,3.2
00:00:40,66609.87950233904,3.4
00:00:41,64916.60277887499,3.6
00:00:42,63258.35205460498,3.8
00:00:43,61634.57029336624,4.0
00:00:44,60044.70662796266,4.2
00:00:45,58488.21632192951,4.4
00:00:46,56214.87928466798,4.7
00:00:48,53295.59331272776,5.1
00:00:50,49820.37264989674,5.6
00:00:51,48482.7502130457,5.8
00:00:53,45265.50929448782,6.3
00:00:54,43419.69247858332,6.6
00:00:55,42223.37264990858,6.8
00:00:57,39348.953658494785,7.3
00:00:59,36110.961031643004,7.9
00:01:00,35080.92570132915,8.1
00:01:01,33580.59269673484,8.4
00:01:02,32132.647466576876,8.7
00:01:03,30735.678857777755,9.0
00:01:04,29388.30227834231,9.3
00:01:05,28089.15941658753,9.6
00:01:06,26836.917960984032,9.9
00:01:07,25630.27132061293,10.2
00:01:08,24467.93834624255,10.5
00:01:03,23348.66305202836,10.8
00:01:10,21923.233334404125,11.2
00:01:11,21242.490458583998,11.4
00:01:12,19943.76201563584,11.8
00:01:14,17859.116611900503,12.5
00:01:15,17033.78697038126,12.8
00:01:16,15992.371244071526,13.2
00:01:17,15014.625840567347,13.6
00:01:18,14096.658068502777,14.0
00:01:13,13234.813228804089,14.4
00:01:20,12425.660064260304,14.8
00:01:21,11665.977098681338,15.2
00:01:22,10952.73981125599,15.6
00:01:23,10283.108595047031,16.0
00:01:24,9503.344794955792,16.5
00:01:25,8922.327036590037,16.9
00:01:27,7741.620057013648,17.8
00:01:28,7154.5762639113245,18.3
00:01:30,6612.04775475241,18.8
00:01:31,6110.658954276857,19.3
00:01:32,5647.290255676947,19.8
00:01:33,5137.689437444162,20.4
00:01:33,4749.220589945216,20.9
00:01:34,4322.660960446735,21.5
00:01:35,3997.4003459383957,22.0
00:01:36,3640.087419206186,22.6
00:01:42,2054.811947649426,26.3
00:01:43,1874.5175568812056,26.9
00:01:44,1684.592710723984,27.6
00:01:45,1514.4150535264005,28.3
00:01:47,1243.7486592058997,29.6
00:01:49,992.368649462601,31.1
00:01:50,893.5784868011316,31.8
00:01:51,793.1375761313876,32.6
00:01:52,715.220487015362,33.3
00:01:53,645.5185178436375,34.0
00:01:55,505.00312231278764,35.7
00:01:56,450.6662638616103,36.5
00:01:57,402.59924807153686,37.3
00:01:58,360.0306103415858,38.1
00:01:59,317.88148992737626,39.0
00:02:00,284.87748907605186,39.8
00:02:01,252.11946614139515,40.7
00:02:02,226.40759510849327,41.5
00:02:03,200.8277504193104,42.4
00:02:04,178.3458488260918,43.3
00:02:05,158.5619854731332,44.2
00:02:06,141.13101082008407,45.1
00:02:07,124.16138254608116,46.1
00:02:08,110.76657692324335,47.0
00:02:09,97.62906657565004,48.0
00:02:10,87.14299844727141,48.9
00:02:11,76.80737126060966,49.9
00:02:12,67.69760491469346,50.9
00:02:13,59.63655380099804,51.9
00:02:15,46.09464442932572,53.9
00:02:16,40.440955478247915,54.9
00:02:17,34.962097128247365,56.0
00:02:18,30.581533550578055,57.0
00:02:19,26.348862929944712,58.1
00:02:20,22.66026278906661,59.2
00:02:21,19.45129145792594,60.3
00:02:22,16.664473828039583,61.4
00:02:23,14.248621969358584,62.5
00:02:24,12.335900802907473,63.5
00:02:25,10.352831196314181,64.7
00:02:26,8.79663586714478,65.8
00:02:27,7.457908285153829,66.9
00:02:28,6.308616851237317,68.0
00:02:29,5.241916577286452,69.2
00:02:30,4.343163662213671,70.4
00:02:31,3.646191046247086,71.5
00:02:32,3.006204631727699,72.7
00:02:33,2.4730899541055815,73.9
00:02:35,1.9965947068313399,75.2
00:02:36,1.6347222558274124,76.4
00:02:37,1.3352712186082485,77.6
00:02:38,1.0880323249242612,78.8
00:02:40,0.7044988283796205,81.3
00:02:41,0.569560921744286,82.5
00:02:42,0.45923652014643307,83.7
00:02:42,0.376077217740341,84.8
