time,altitude,speed
00:00:16,0.4,208
00:00:22,0.8,308
00:00:22,0.9,314
00:00:18,0.6,246
00:00:19,0.6,264
00:00:20,0.7,282
00:00:22,0.8,300
00:00:23,0.9,318
00:00:24,1.0,337
00:00:25,1.1,356
00:00:26,1.2,376
00:00:27,1.3,395
00:00:28,1.4,416
00:00:29,1.5,436
00:00:29,1.6,456
00:00:30,1.8,476
00:00:31,1.9,497
00:00:32,2.0,518
00:00:33,2.2,541
00:00:34,2.3,563
00:00:35,2.5,586
00:00:36,2.7,608
00:00:37,2.8,631
00:00:38,3.0,655
00:00:39,3.2,679
00:00:40,3.4,703
00:00:41,3.6,728
00:00:42,3.8,754
00:00:43,4.0,775
00:00:44,4.2,791
00:00:45,4.4,804
00:00:46,4.7,816
00:00:48,5.1,840
00:00:50,5.6,865
00:00:51,5.8,878
00:00:53,6.3,904
00:00:54,6.6,918
00:00:55,6.8,932
00:00:57,7.3,962
00:00:59,7.9,992
00:01:00,8.1,1008
00:01:01,8.4,1025
00:01:02,8.7,1041
00:01:03,9.0,1057
00:01:04,9.3,1075
00:01:05,9.6,1092
00:01:06,9.9,1110
00:01:07,10.2,1128
00:01:08,10.5,1147
00:01:03,10.8,1165
00:01:10,11.2,1188
00:01:11,11.4,1215
00:01:12,11.8,1246
00:01:14,12.5,1317
00:01:15,12.8,1353
00:01:16,13.2,1391
00:01:17,13.6,1428
00:01:18,14.0,1467
00:01:13,14.4,1506
00:01:20,14.8,1545
00:01:21,15.2,1585
00:01:22,15.6,1626
00:01:23,16.0,1666
00:01:24,16.5,1708
00:01:25,16.9,1750
00:01:27,17.8,1835
00:01:28,18.3,1881
00:01:30,18.8,1926
00:01:31,19.3,1974
00:01:32,19.8,2020
00:01:33,20.4,2070
00:01:33,20.9,2117
00:01:34,21.5,2166
00:01:35,22.0,2216
00:01:36,22.6,2266
00:01:42,26.3,2585
00:01:43,26.9,2641
00:01:44,27.6,2697
00:01:45,28.3,2755
00:01:47,29.6,2870
00:01:49,31.1,2994
00:01:50,31.8,3055
00:01:51,32.6,3119
00:01:52,33.3,3183
00:01:53,34.0,3246
00:01:55,35.7,3381
00:01:56,36.5,3451
00:01:57,37.3,3521
00:01:58,38.1,3592
00:01:59,39.0,3663
00:02:00,39.8,3734
00:02:01,40.7,3807
00:02:02,41.5,3882
00:02:03,42.4,3957
00:02:04,43.3,4034
00:02:05,44.2,4113
00:02:06,45.1,4192
00:02:07,46.1,4271
00:02:08,47.0,4352
00:02:09,48.0,4435
00:02:10,48.9,4519
00:02:11,49.9,4605
00:02:12,50.9,4692
00:02:13,51.9,4781
00:02:15,53.9,4962
00:02:16,54.9,5048
00:02:17,56.0,5132
00:02:18,57.0,5213
00:02:19,58.1,5297
00:02:20,59.2,5377
00:02:21,60.3,5462
00:02:22,61.4,5546
00:02:23,62.5,5631
00:02:24,63.5,5716
