time,vertical_speed,altitude
0,211.012107907,0.4
1,239.10800896,0.6
2,263.838609661,0.6
3,282.0,0.7
4,300.019266266,0.8
5,318.3525996,0.9
6,337.036607595,1.0
7,356.333333333,1.1
8,375.699616634,1.2
9,395.666584223,1.3
10,415.683925551,1.4
11,435.984308917,1.5
12,456.015691083,1.6
13,476.349024416,1.8
14,497.042926397,1.9
15,518.680876006,2.0
16,540.693901981,2.2
17,563.320307359,2.3
18,585.679692641,2.5
19,608.345274465,2.7
20,631.35830044,2.8
21,655.011941132,3.0
22,679.010986372,3.2
23,703.354461404,3.4
24,728.294971159,3.6
25,752.18821298,3.8
26,772.999170236,4.0
27,787.836438258,4.2
28,796.932210066,4.4
29,800.777777778,4.7
30,802.0,5.1
31,802.0,5.6
32,802.0,5.8
33,802.0,6.3
34,802.0,6.6
35,802.0,6.8
36,802.0,7.3
37,802.0,7.9
38,802.0,8.1
39,802.0,8.4
40,802.0,8.7
41,802.0,9.0
42,802.0,9.3
43,802.0,9.6
44,802.0,9.9
45,802.0,10.2
46,802.0,10.5
47,802.0,10.8
48,802.0,11.2
49,802.0,11.4
50,802.0,11.8
51,802.0,12.5
52,802.0,12.8
53,802.0,13.2
54,802.0,13.6
55,802.0,14.0
56,802.0,14.4
57,802.0,14.8
58,802.0,15.2
59,802.0,15.6
60,802.0,16.0
61,802.0,16.5
62,802.0,16.9
63,802.0,17.8
64,802.0,18.3
65,802.0,18.8
66,802.0,19.3
67,802.0,19.8
68,802.0,20.4
69,802.0,20.9
70,802.0,21.5
71,802.0,22.0
72,802.0,22.6
73,802.0,26.3
74,802.0,26.9
75,802.0,27.6
76,802.0,28.3
77,802.0,29.6
78,802.0,31.1
79,802.0,31.8
80,802.0,32.6
81,802.0,33.3
82,802.0,34.0
83,802.0,35.7
84,802.0,36.5
85,802.0,37.3
86,802.0,38.1
87,802.0,39.0
88,802.0,39.8
89,802.0,40.7
90,802.0,41.5
91,802.0,42.4
92,802.0,43.3
93,802.0,44.2
94,802.0,45.1
95,802.0,46.1
96,802.0,47.0
97,802.0,48.0
98,802.0,48.9
99,802.111111111,49.9
100,802.777777778,50.9
101,804.444444444,51.9
102,806.944444444,53.9
103,809.833333333,54.9
104,812.666666667,56.0
105,815.5,57.0
106,818.333333333,58.1
107,821.166666667,59.2
108,824.0,60.3
109,826.777777778,61.4
110,829.111111111,62.5
111,831.68165052,63.5
112,841.333333333,64.7
113,852.166666667,65.8
114,862.873905036,66.9
115,867.0,68.0
116,870.388888889,69.2
117,873.944444444,70.4
118,877.0,71.5
119,880.5,72.7
120,884.111111111,73.9
121,888.222222222,75.2
122,892.611111111,76.4
123,897.111111111,77.6
124,901.666666667,78.8
125,905.0,81.3
126,907.277777778,82.5
127,908.555555556,83.7
128,909.666666667,84.8
129,910.666666667,86.0
130,911.277777778,87.2
131,911.555555556,88.3
132,911.444444444,89.5
133,911.222222222,90.6
134,911.055555556,91.8
135,911.0,92.9
136,910.888888889,94.0
137,910.666666667,95.1
138,910.5,96.2
139,910.611111111,97.4
140,911.055555556,98.5
141,911.5,100.0
142,911.833333333,101.0
143,912.0,102.0
144,912.166666667,103.0
145,912.333333333,104.0
146,912.444444444,105.0
147,912.333333333,106.0
