time,downrange,horizontal_velocity,vertical_velocity,altitude
0,0.0,6.43929728578,33.3846589089,0.0
1,0.0,0.0,47.1715138715,0.0
2,0.0,0.0,61.2013532932,0.0
3,0.0,0.0,80.8440079521,0.0
4,0.0,0.0,106.367003213,0.1
5,0.00192028791653,38.4057583305,132.548095901,0.2
6,0.00192028791653,0.0,154.331491722,0.2
7,0.00192028791653,0.0,193.744937651,0.3
8,0.0151729248835,88.3509131129,240.270922402,0.6
9,0.0226686314631,61.5632184802,287.48212141,0.7
10,0.0261557477398,8.17910705374,312.893116268,0.8
11,0.0265647030925,0.0,332.471434606,0.9
12,0.0265647030925,0.0,365.014102715,1.0
13,0.0419401365122,102.502889464,398.012760664,1.3
14,0.0521904254586,0.0,431.209334776,1.5
15,0.0530414467952,17.0204267324,451.679427331,1.6
16,0.0538924681318,0.0,472.344934773,1.7
17,0.0538924681318,0.0,493.357695438,1.8
18,0.0538924681318,0.0,515.022194723,2.0
19,0.0538924681318,0.0,537.445049617,2.1
20,0.0538924681318,0.0,568.01713475,2.3
21,0.0683117633878,96.1286350397,599.3398748,2.6
22,0.0789642379093,10.3961101756,630.914353057,2.8
23,0.0804774176364,19.867484367,654.698620027,2.9
24,0.0934714898032,110.0732373,671.03195336,3.1
25,0.122942547407,184.637338741,679.356352103,3.3
26,0.167403204176,259.969228948,680.0,3.5
27,0.225743441682,323.433146106,680.0,3.7
28,0.294846652919,367.598966266,680.0,3.9
29,0.371621671687,400.151221415,680.0,4.1
30,0.677022837758,472.423538787,680.0,4.8
31,0.773750644044,494.854524078,680.0,5.0
32,1.03233087582,539.466403032,680.0,5.5
33,1.14229188928,560.143731555,680.0,5.7
34,0.913880154522,581.914942238,680.0,5.3
35,1.44787098392,604.73134531,680.0,6.2
36,1.57119918984,628.550713944,680.0,6.4
37,1.69982020987,657.659486361,680.0,6.6
38,1.9026499372,694.538695826,680.0,6.9
39,2.11681255825,733.212111193,680.0,7.2
40,2.26762964023,774.958708577,680.0,7.4
41,2.50643079024,817.048958141,680.0,7.7
42,2.75772842486,858.268605974,680.0,8.0
43,3.20755088979,941.021253745,680.0,8.5
44,3.4961034079,982.662200352,680.0,8.8
45,-2.21871721683,1022.53801885,680.0,3.1
46,4.90669142926,1104.4496367,680.0,9.8
47,5.24416120304,1145.34885515,680.0,10.1
48,5.59401700642,1187.02316742,680.0,10.4
49,5.95649272125,1229.48159807,680.0,10.7
50,6.45670883954,1271.59899339,680.0,11.1
51,6.97393546582,1314.53413801,680.0,11.5
52,7.37452404874,1356.05641476,680.0,11.8
53,8.35450501125,1443.88919242,680.0,12.5
54,8.94087962391,1487.98387088,680.0,12.9
55,9.54528474217,1534.04172042,680.0,13.3
56,10.1676322439,1577.69578817,680.0,13.7
57,10.808271017,1625.49807751,680.0,14.1
58,11.4679889823,1673.09174883,680.0,14.5
59,12.1464910915,1719.41879715,680.0,14.9
60,12.8437046685,1766.64908796,680.0,15.3
61,13.5597778665,1813.71690183,680.0,15.7
62,14.2950740082,1862.76380682,680.0,16.1
63,15.2389451038,1912.72057552,680.0,16.6
64,16.0142071329,1963.58957015,680.0,17.0
65,17.8298766225,2071.23151772,680.0,17.9
66,20.8433928186,2233.79161965,680.0,19.3
67,21.9746463188,2291.22238118,680.0,19.8
68,23.1343258358,2347.4956869,680.0,20.3
69,24.3226355397,2405.74312843,680.0,20.8
70,25.5405615893,2465.96107025,680.0,21.3
71,26.789088446,2528.14635652,680.0,21.8
72,28.3242907517,2589.19466244,680.0,22.4
73,29.6346431482,2652.21492342,680.0,22.9
74,30.9764826055,2715.142906,680.0,23.4
75,32.6247297954,2779.01439363,680.0,24.0
76,34.0301841484,2842.80301815,680.0,24.5
77,35.7555955152,2908.56820446,680.0,25.1
78,37.2265581092,2975.28217149,680.0,25.6
79,39.0320267401,3042.94659828,680.0,26.2
80,42.7627931872,3174.99748031,680.0,27.4
81,44.6889510163,3245.52861642,680.0,28.0
82,46.6577144399,3317.01612899,680.0,28.6
83,48.6687397676,3386.40163005,680.0,29.2
84,50.7232143284,3461.84690592,680.0,29.8
85,52.8232432279,3538.24942592,680.0,30.4
86,54.9684854846,3612.55809642,680.0,31.0
87,59.7652754627,3767.11879292,680.0,32.3
88,62.4314124869,3850.41556199,680.0,33.0
89,65.1565485543,3935.68748759,680.0,33.7
90,67.5410924142,4012.79204545,680.0,34.3
91,70.3784381691,4093.91011137,680.0,35.0
92,73.2732606882,4177.01137178,680.0,35.7
93,76.2269480091,4262.09525938,680.0,36.4
94,79.2419505521,4352.19772069,680.0,37.1
95,82.3196551832,4441.24408246,680.0,37.8
96,85.909466071,4533.28313698,680.0,38.6
97,88.6546094904,4617.19492766,680.0,39.2
98,92.3843421452,4707.1367093,680.0,40.0
99,95.7115121646,4799.06334611,680.0,40.7
100,99.1033450259,4891.88768634,680.555555556,41.4
101,103.055153445,4987.63336218,681.666666667,42.2
102,107.084704151,5086.24340261,683.777777778,43.0
103,110.679582222,5184.83679964,685.833333333,43.7
104,114.867271671,5284.38682335,688.111111111,44.5
105,119.134618277,5383.97969173,689.888888889,45.3
106,123.482839862,5486.57427018,691.666666667,46.1
107,127.913547779,5590.1955232,693.111111111,46.9
108,132.427554629,5694.82160133,694.388888889,47.7
109,137.026453824,5802.42638663,695.833333333,48.5
110,151.955151093,6140.53142832,697.333333333,51.0
111,154.372093712,6254.04610267,699.111111111,51.39
112,163.272471228,6370.60285609,700.5,52.8
113,168.416379989,6489.16904718,701.722222222,53.6
114,174.309990989,6607.74428648,702.666666667,54.5
115,180.306685637,6718.24382067,703.722222222,55.4
116,186.400560574,6823.70048317,704.777777778,56.3
117,191.899685391,6924.11155864,705.888888889,57.1
118,198.176113147,7023.50567737,707.0,58.0
119,204.541081182,7120.86773392,708.222222222,58.9
120,210.995484167,7222.25001106,709.333333333,59.8
121,217.541583334,7324.63702552,710.333333333,60.7
122,231.657779567,7534.51690473,711.111111111,62.6
123,238.486269271,7639.90465974,711.888888889,63.5
124,253.210947251,7859.75637168,712.666666667,65.4
125,261.113336213,7945.02155247,713.555555556,66.4
126,268.274665352,7969.0431995,714.388888889,67.3
127,276.242672143,7966.97038395,715.111111111,68.3
128,284.204599924,7956.88517811,715.611111111,69.3
129,291.360810813,7945.80568602,716.0,70.2
130,298.50614639,7932.71781673,716.388888889,71.1
131,305.639250905,7918.62555102,716.777777778,72.0
132,308.012723922,7904.5278976,717.222222222,72.3
133,319.858192943,7889.43079653,717.611111111,73.8
134,326.952336376,7875.33238785,718.055555556,74.7
135,334.033793356,7861.23867977,718.444444444,75.6
136,341.107086944,7857.19151518,718.777777778,76.5
137,348.182162899,7865.19949575,719.055555556,77.4
138,354.479534002,7878.22826247,719.333333333,78.2
139,361.576703791,7893.26015591,719.666666667,79.1
140,367.897730318,7909.30616348,719.888888889,79.9
141,375.023331025,7925.36207375,720.0,80.8
142,381.370448627,7942.43193235,720.0,81.6
143,387.731224007,7959.50651717,719.944444444,82.4
144,407.695285123,8011.74237534,719.666666667,84.9
145,434.253382435,8084.07417739,719.166666667,88.2
146,440.728295376,8103.2081764,718.5,89.0
147,447.21851328,8122.3365815,717.888888889,89.8
148,453.72403169,8141.45944465,717.333333333,90.6
149,459.429744381,8160.57681615,716.833333333,91.3
150,479.086245899,8219.84111525,716.388888889,93.7
151,484.847176359,8239.96020007,715.888888889,94.4
152,491.447195759,8260.0882986,715.277777778,95.2
153,497.235957581,8279.23119232,714.444444444,95.9
154,503.038470461,8299.37703578,713.611111111,96.6
155,509.686429673,8320.52099564,712.833333333,97.4
156,515.518191156,8341.65467032,712.166666667,98.1
157,522.199971853,8362.79707088,711.388888889,98.9
158,531.410676518,8383.9386835,710.611111111,100.0
159,531.410676518,8406.08307352,709.833333333,100.0
160,539.827327268,8427.21842793,709.111111111,101.0
161,548.262608888,8443.34481053,708.277777778,102.0
162,548.262608888,8471.52637634,707.277777778,102.0
163,556.745233514,8493.72287666,705.833333333,103.0
164,565.249586749,8514.98359248,703.555555556,104.0
165,590.930380218,8605.5453868,700.388888889,107.0
166,590.930380218,8628.88217783,697.166666667,107.0
167,599.570403163,8651.16371249,694.555555556,108.0
168,608.233669799,8675.36955967,692.944444444,109.0
169,608.233669799,8698.55315059,691.555555556,109.0
170,616.944808482,8723.72421516,690.388888889,110.0
171,643.26962977,8826.15664368,688.888888889,113.0
172,643.26962977,8852.35640318,687.333333333,113.0
173,670.028504956,8986.89372086,685.5,116.0
174,679.04254605,9041.18846662,683.666666667,117.0
175,697.207275562,9123.54104606,682.055555556,119.0
176,706.344915521,9151.73887073,680.444444444,120.0
177,715.524792714,9208.01551521,678.777777778,121.0
178,734.027225043,9294.41681407,676.444444444,123.0
179,734.027225043,9323.6903835,673.722222222,123.0
180,743.365554948,9352.96942681,670.888888889,124.0
181,743.365554948,9383.22071704,668.444444444,124.0
182,752.763391076,9412.45153776,666.222222222,125.0
183,762.206002995,9472.77230074,663.777777778,126.0
184,771.694409978,9504.04166658,661.0,127.0
185,771.694409978,9534.30991939,658.166666667,127.0
186,781.259385187,9595.6404987,655.444444444,128.0
187,790.870151135,9625.89139627,652.777777778,129.0
188,790.870151135,9657.16095128,649.833333333,129.0
189,800.542952968,9688.44271399,646.666666667,130.0
190,800.542952968,9720.7238285,643.5,130.0
191,810.27930389,9751.97801588,640.666666667,131.0
192,820.063927498,9817.26920052,638.333333333,132.0
193,820.063927498,9849.47673596,636.166666667,132.0
194,829.929014972,9880.69821142,633.722222222,133.0
195,829.929014972,9912.95508304,630.722222222,133.0
196,839.858111229,9945.23743254,627.277777778,134.0
197,849.836519685,10011.5794785,623.888888889,135.0
198,849.836519685,10045.8345085,620.833333333,135.0
199,849.836519685,10078.0490616,618.333333333,135.0
200,859.931172575,10111.2567192,615.944444444,136.0
201,859.931172575,10146.4829063,613.277777778,136.0
202,870.094784865,10180.7416724,610.0,137.0
203,870.094784865,10215.0207483,606.333333333,137.0
204,880.326946832,10249.3031862,602.555555556,138.0
205,880.326946832,10284.5614056,599.166666667,138.0
206,890.629121473,10319.7878763,596.277777778,139.0
207,890.629121473,10352.9896128,593.722222222,139.0
208,890.629121473,10388.2466184,590.217921958,139.0
209,901.036048779,10425.6079942,584.860625849,140.0
210,901.036048779,10462.031594,578.255070293,140.0
211,911.515276442,10496.4237312,572.04270389,141.0
212,911.515276442,10531.7625462,566.733333333,141.0
213,922.065188228,10568.0610262,562.116666667,142.0
214,922.065188228,10606.3553025,557.555555556,142.0
215,922.065188228,10640.6022715,553.722222222,142.0
216,932.723899518,10676.8203091,550.444444444,143.0
217,932.723899518,10714.0173097,547.555555556,143.0
218,932.723899518,10751.231869,544.277777778,143.0
219,943.494253372,10789.4758375,540.388888889,144.0
220,943.494253372,10826.766208,535.475001715,144.0
221,954.340681608,10866.0902646,529.833333333,145.0
222,954.340681608,10902.4560442,523.141668382,145.0
223,954.340681608,10939.8245309,516.278251235,145.0
224,965.299686119,10978.184492,509.475475172,146.0
225,965.299686119,11016.4948769,503.611584568,146.0
226,965.299686119,11055.7721357,498.388888889,146.0
227,976.375073657,11095.0029387,494.111111111,147.0
228,976.375073657,11134.2035749,490.444444444,147.0
229,987.528363662,11172.3764358,487.333333333,148.0
230,987.528363662,11211.548191,484.222222222,148.0
231,987.528363662,11251.7401747,480.611111111,148.0
232,998.799208234,11289.9489702,476.5,149.0
233,998.799208234,11330.1866955,471.666666667,149.0
234,998.799208234,11369.4198462,466.833333333,149.0
235,1010.20925998,11450.6836477,462.0,150.0
236,1010.20925998,11491.8947051,457.555555556,150.0
237,1021.72175752,11533.1003625,453.166666667,151.0
238,1021.72175752,11573.2978345,448.888888889,151.0
239,1021.72175752,11614.4930996,444.611111111,151.0
240,1021.72175752,11655.6833187,440.388888889,151.0
241,1033.39853486,11697.8713721,436.166666667,152.0
242,1033.39853486,11739.074427,431.44014418,152.0
243,1033.39853486,11782.3572481,424.449853496,152.0
244,1045.20259092,11825.7548761,414.017644513,153.0
245,1045.20259092,11867.1376648,403.633055888,153.0
246,1045.20259092,11910.4330367,395.567791017,153.0
247,1057.13511027,11954.6056628,391.055555556,154.0
248,1057.13511027,11997.7654575,386.833333333,154.0
249,1057.13511027,12040.9296874,382.388888889,154.0
250,1057.13511027,12085.1020206,377.611111111,154.0
251,1069.24229091,12129.259259,373.222222222,155.0
252,1069.24229091,12173.4036724,369.166666667,155.0
253,1069.24229091,12219.5349646,365.5,155.0
254,1081.48439026,12264.6637393,361.833333333,156.0
255,1081.48439026,12309.7920954,358.111111111,156.0
256,1081.48439026,12354.9247659,354.166666667,156.0
257,1081.48439026,12400.050509,350.388888889,156.0
258,1093.90750126,12446.1714877,346.722222222,157.0
259,1093.90750126,12492.2813397,343.388888889,157.0
260,1093.90750126,12538.3910052,340.0,157.0
261,1093.90750126,12584.4974693,336.666666667,157.0
262,1106.51505114,12630.6022774,333.333333333,158.0
263,1106.51505114,12677.7330914,328.949330677,158.0
264,1106.51505114,12722.9197754,322.244299395,158.0
265,1106.51505114,12771.1153033,315.022077173,158.0
266,1106.51505114,12818.2797346,308.850524273,158.0
267,1119.35738374,12866.3854676,305.0,159.0
268,1119.35738374,12914.4771951,301.666666667,159.0
269,1119.35738374,12961.5785071,297.838219566,159.0
270,1119.35738374,13009.7304613,291.688743839,159.0
271,1132.39169958,13058.901216,284.504886233,160.0
272,1132.39169958,13109.1054783,275.495113767,160.0
273,1132.39169958,13159.2855761,267.295952107,160.0
274,1132.39169958,13208.4642875,258.8284471,160.0
275,1132.39169958,13258.6117255,251.666666667,160.0
276,1145.67537799,13308.7450949,245.0,161.0
277,1145.67537799,13360.8628208,238.984695947,161.0
278,1145.67537799,13411.9687905,233.429140391,161.0
279,1145.67537799,13462.044839,229.444444444,161.0
280,1145.67537799,13513.108405,226.111111111,161.0
281,1159.21501309,13566.1618088,223.333333333,162.0
282,1159.21501309,13618.2320488,219.444444444,162.0
283,1159.21501309,13671.3007721,215.555555556,162.0
284,1159.21501309,13723.3677435,211.666666667,162.0
285,1159.21501309,13776.4248346,208.333333333,162.0
286,1159.21501309,13828.4805745,205.0,162.0
287,1173.07002501,13881.5432615,201.111111111,163.0
288,1173.07002501,13935.6044862,197.222222222,163.0
289,1173.07002501,13988.6717285,192.777777778,163.0
290,1173.07002501,14602.7783996,188.888888889,163.0
291,1173.07002501,14097.7862092,185.0,163.0
292,1173.07002501,14151.8340233,181.666666667,163.0
293,1187.24937892,14206.8737858,178.888888889,164.0
