time,downrange,altitude
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.1
5,0.00192028791653,0.2
6,0.00192028791653,0.2
7,0.00192028791653,0.3
8,0.0151729248835,0.6
9,0.0226686314631,0.7
10,0.0261557477398,0.8
11,0.0265647030925,0.9
12,0.0265647030925,1.0
13,0.0419401365122,1.3
14,0.0521904254586,1.5
15,0.0530414467952,1.6
16,0.0538924681318,1.7
17,0.0538924681318,1.8
18,0.0538924681318,2.0
19,0.0538924681318,2.1
20,0.0538924681318,2.3
21,0.0683117633878,2.6
22,0.0789642379093,2.8
23,0.0804774176364,2.9
24,0.0934714898032,3.1
25,0.122942547407,3.3
26,0.167403204176,3.5
27,0.225743441682,3.7
28,0.294846652919,3.9
29,0.371621671687,4.1
30,0.677022837758,4.8
31,0.773750644044,5.0
32,1.03233087582,5.5
33,1.14229188928,5.7
34,0.913880154522,5.3
35,1.44787098392,6.2
36,1.57119918984,6.4
37,1.69982020987,6.6
38,1.9026499372,6.9
39,2.11681255825,7.2
40,2.26762964023,7.4
41,2.50643079024,7.7
42,2.75772842486,8.0
43,3.20755088979,8.5
44,3.4961034079,8.8
45,-2.21871721683,3.1
46,4.90669142926,9.8
47,5.24416120304,10.1
48,5.59401700642,10.4
49,5.95649272125,10.7
50,6.45670883954,11.1
51,6.97393546582,11.5
52,7.37452404874,11.8
53,8.35450501125,12.5
54,8.94087962391,12.9
55,9.54528474217,13.3
56,10.1676322439,13.7
57,10.808271017,14.1
58,11.4679889823,14.5
59,12.1464910915,14.9
60,12.8437046685,15.3
61,13.5597778665,15.7
62,14.2950740082,16.1
63,15.2389451038,16.6
64,16.0142071329,17.0
65,17.8298766225,17.9
66,20.8433928186,19.3
67,21.9746463188,19.8
68,23.1343258358,20.3
69,24.3226355397,20.8
70,25.5405615893,21.3
71,26.789088446,21.8
72,28.3242907517,22.4
73,29.6346431482,22.9
74,30.9764826055,23.4
75,32.6247297954,24.0
76,34.0301841484,24.5
77,35.7555955152,25.1
78,37.2265581092,25.6
79,39.0320267401,26.2
80,42.7627931872,27.4
81,44.6889510163,28.0
82,46.6577144399,28.6
83,48.6687397676,29.2
84,50.7232143284,29.8
85,52.8232432279,30.4
86,54.9684854846,31.0
87,59.7652754627,32.3
88,62.4314124869,33.0
89,65.1565485543,33.7
90,67.5410924142,34.3
91,70.3784381691,35.0
92,73.2732606882,35.7
93,76.2269480091,36.4
94,79.2419505521,37.1
95,82.3196551832,37.8
96,85.909466071,38.6
97,88.6546094904,39.2
98,92.3843421452,40.0
99,95.7115121646,40.7
100,99.1033450259,41.4
101,103.055153445,42.2
102,107.084704151,43.0
103,110.679582222,43.7
104,114.867271671,44.5
105,119.134618277,45.3
106,123.482839862,46.1
107,127.913547779,46.9
108,132.427554629,47.7
109,137.026453824,48.5
110,151.955151093,51.0
111,154.372093712,51.39
112,163.272471228,52.8
113,168.416379989,53.6
114,174.309990989,54.5
115,180.306685637,55.4
116,186.400560574,56.3
117,191.899685391,57.1
118,198.176113147,58.0
119,204.541081182,58.9
120,210.995484167,59.8
121,217.541583334,60.7
122,231.657779567,62.6
123,238.486269271,63.5
124,253.210947251,65.4
125,261.113336213,66.4
126,268.274665352,67.3
127,276.242672143,68.3
128,284.204599924,69.3
129,291.360810813,70.2
130,298.50614639,71.1
131,305.639250905,72.0
132,308.012723922,72.3
133,319.858192943,73.8
134,326.952336376,74.7
135,334.033793356,75.6
136,341.107086944,76.5
137,348.182162899,77.4
138,354.479534002,78.2
139,361.576703791,79.1
140,367.897730318,79.9
141,375.023331025,80.8
142,381.370448627,81.6
143,387.731224007,82.4
144,407.695285123,84.9
145,434.253382435,88.2
146,440.728295376,89.0
147,447.21851328,89.8
148,453.72403169,90.6
149,459.429744381,91.3
150,479.086245899,93.7
151,484.847176359,94.4
152,491.447195759,95.2
153,497.235957581,95.9
154,503.038470461,96.6
155,509.686429673,97.4
156,515.518191156,98.1
157,522.199971853,98.9
158,531.410676518,100.0
159,531.410676518,100.0
160,539.827327268,101.0
161,548.262608888,102.0
162,548.262608888,102.0
163,556.745233514,103.0
164,565.249586749,104.0
165,590.930380218,107.0
166,590.930380218,107.0
167,599.570403163,108.0
168,608.233669799,109.0
169,608.233669799,109.0
170,616.944808482,110.0
171,643.26962977,113.0
172,643.26962977,113.0
173,670.028504956,116.0
174,679.04254605,117.0
175,697.207275562,119.0
176,706.344915521,120.0
177,715.524792714,121.0
178,734.027225043,123.0
179,734.027225043,123.0
180,743.365554948,124.0
181,743.365554948,124.0
182,752.763391076,125.0
183,762.206002995,126.0
184,771.694409978,127.0
185,771.694409978,127.0
186,781.259385187,128.0
187,790.870151135,129.0
188,790.870151135,129.0
189,800.542952968,130.0
190,800.542952968,130.0
191,810.27930389,131.0
192,820.063927498,132.0
193,820.063927498,132.0
194,829.929014972,133.0
195,829.929014972,133.0
196,839.858111229,134.0
197,849.836519685,135.0
198,849.836519685,135.0
199,849.836519685,135.0
200,859.931172575,136.0
201,859.931172575,136.0
202,870.094784865,137.0
203,870.094784865,137.0
204,880.326946832,138.0
205,880.326946832,138.0
206,890.629121473,139.0
207,890.629121473,139.0
208,890.629121473,139.0
209,901.036048779,140.0
210,901.036048779,140.0
211,911.515276442,141.0
212,911.515276442,141.0
213,922.065188228,142.0
214,922.065188228,142.0
215,922.065188228,142.0
216,932.723899518,143.0
217,932.723899518,143.0
218,932.723899518,143.0
219,943.494253372,144.0
220,943.494253372,144.0
221,954.340681608,145.0
222,954.340681608,145.0
223,954.340681608,145.0
224,965.299686119,146.0
225,965.299686119,146.0
226,965.299686119,146.0
227,976.375073657,147.0
228,976.375073657,147.0
229,987.528363662,148.0
230,987.528363662,148.0
231,987.528363662,148.0
232,998.799208234,149.0
233,998.799208234,149.0
234,998.799208234,149.0
235,1010.20925998,150.0
236,1010.20925998,150.0
237,1021.72175752,151.0
238,1021.72175752,151.0
239,1021.72175752,151.0
240,1021.72175752,151.0
241,1033.39853486,152.0
242,1033.39853486,152.0
243,1033.39853486,152.0
244,1045.20259092,153.0
245,1045.20259092,153.0
246,1045.20259092,153.0
247,1057.13511027,154.0
248,1057.13511027,154.0
249,1057.13511027,154.0
250,1057.13511027,154.0
251,1069.24229091,155.0
252,1069.24229091,155.0
253,1069.24229091,155.0
254,1081.48439026,156.0
255,1081.48439026,156.0
256,1081.48439026,156.0
257,1081.48439026,156.0
258,1093.90750126,157.0
259,1093.90750126,157.0
260,1093.90750126,157.0
261,1093.90750126,157.0
262,1106.51505114,158.0
263,1106.51505114,158.0
264,1106.51505114,158.0
265,1106.51505114,158.0
266,1106.51505114,158.0
267,1119.35738374,159.0
268,1119.35738374,159.0
269,1119.35738374,159.0
270,1119.35738374,159.0
271,1132.39169958,160.0
272,1132.39169958,160.0
273,1132.39169958,160.0
274,1132.39169958,160.0
275,1132.39169958,160.0
276,1145.67537799,161.0
277,1145.67537799,161.0
278,1145.67537799,161.0
279,1145.67537799,161.0
280,1145.67537799,161.0
281,1159.21501309,162.0
282,1159.21501309,162.0
283,1159.21501309,162.0
284,1159.21501309,162.0
285,1159.21501309,162.0
286,1159.21501309,162.0
287,1173.07002501,163.0
288,1173.07002501,163.0
289,1173.07002501,163.0
290,1173.07002501,163.0
291,1173.07002501,163.0
292,1173.07002501,163.0
293,1187.24937892,164.0
294,1187.24937892,164.0
295,1187.24937892,164.0
296,1187.24937892,164.0
297,1187.24937892,164.0
298,1187.24937892,164.0
299,1187.24937892,164.0
300,1201.81747566,165.0
301,1201.81747566,165.0
302,1201.81747566,165.0
303,1201.81747566,165.0
304,1201.81747566,165.0
305,1201.81747566,165.0
306,1201.81747566,165.0
307,1216.79326558,166.0
308,1216.79326558,166.0
309,1216.79326558,166.0
310,1216.79326558,166.0
311,1216.79326558,166.0
312,1216.79326558,166.0
313,1216.79326558,166.0
314,1216.79326558,166.0
315,1216.79326558,166.0
316,1216.79326558,166.0
317,1232.38525779,167.0
318,1232.38525779,167.0
319,1232.38525779,167.0
320,1232.38525779,167.0
321,1232.38525779,167.0
322,1232.38525779,167.0
323,1232.38525779,167.0
324,1232.38525779,167.0
325,1232.38525779,167.0
326,1232.38525779,167.0
327,1232.38525779,167.0
328,1232.38525779,167.0
329,1248.76393527,168.0
330,1248.76393527,168.0
331,1248.76393527,168.0
332,1248.76393527,168.0
333,1248.76393527,168.0
334,1248.76393527,168.0
335,1248.76393527,168.0
336,1248.76393527,168.0
337,1248.76393527,168.0
