time,horizontal_speed,altitude
0,6.43929728578,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.1
5,38.4057583305,0.2
6,0.0,0.2
7,0.0,0.3
8,88.3509131129,0.6
9,61.5632184802,0.7
10,8.17910705374,0.8
11,0.0,0.9
12,0.0,1.0
13,102.502889464,1.3
14,0.0,1.5
15,17.0204267324,1.6
16,0.0,1.7
17,0.0,1.8
18,0.0,2.0
19,0.0,2.1
20,0.0,2.3
21,96.1286350397,2.6
22,10.3961101756,2.8
23,19.867484367,2.9
24,110.0732373,3.1
25,184.637338741,3.3
26,259.969228948,3.5
27,323.433146106,3.7
28,367.598966266,3.9
29,400.151221415,4.1
30,472.423538787,4.8
31,494.854524078,5.0
32,539.466403032,5.5
33,560.143731555,5.7
34,581.914942238,5.3
35,604.73134531,6.2
36,628.550713944,6.4
37,657.659486361,6.6
38,694.538695826,6.9
39,733.212111193,7.2
40,774.958708577,7.4
41,817.048958141,7.7
42,858.268605974,8.0
43,941.021253745,8.5
44,982.662200352,8.8
45,1022.53801885,3.1
46,1104.4496367,9.8
47,1145.34885515,10.1
48,1187.02316742,10.4
49,1229.48159807,10.7
50,1271.59899339,11.1
51,1314.53413801,11.5
52,1356.05641476,11.8
53,1443.88919242,12.5
54,1487.98387088,12.9
55,1534.04172042,13.3
56,1577.69578817,13.7
57,1625.49807751,14.1
58,1673.09174883,14.5
59,1719.41879715,14.9
60,1766.64908796,15.3
61,1813.71690183,15.7
62,1862.76380682,16.1
63,1912.72057552,16.6
64,1963.58957015,17.0
65,2071.23151772,17.9
66,2233.79161965,19.3
67,2291.22238118,19.8
68,2347.4956869,20.3
69,2405.74312843,20.8
70,2465.96107025,21.3
71,2528.14635652,21.8
72,2589.19466244,22.4
73,2652.21492342,22.9
74,2715.142906,23.4
75,2779.01439363,24.0
76,2842.80301815,24.5
77,2908.56820446,25.1
78,2975.28217149,25.6
79,3042.94659828,26.2
80,3174.99748031,27.4
81,3245.52861642,28.0
82,3317.01612899,28.6
83,3386.40163005,29.2
84,3461.84690592,29.8
85,3538.24942592,30.4
86,3612.55809642,31.0
87,3767.11879292,32.3
88,3850.41556199,33.0
89,3935.68748759,33.7
90,4012.79204545,34.3
91,4093.91011137,35.0
92,4177.01137178,35.7
93,4262.09525938,36.4
94,4352.19772069,37.1
95,4441.24408246,37.8
96,4533.28313698,38.6
97,4617.19492766,39.2
98,4707.1367093,40.0
99,4799.06334611,40.7
100,4891.88768634,41.4
101,4987.63336218,42.2
102,5086.24340261,43.0
103,5184.83679964,43.7
104,5284.38682335,44.5
105,5383.97969173,45.3
106,5486.57427018,46.1
107,5590.1955232,46.9
108,5694.82160133,47.7
109,5802.42638663,48.5
110,6140.53142832,51.0
111,6254.04610267,51.39
112,6370.60285609,52.8
113,6489.16904718,53.6
114,6607.74428648,54.5
115,6718.24382067,55.4
116,6823.70048317,56.3
117,6924.11155864,57.1
118,7023.50567737,58.0
119,7120.86773392,58.9
120,7222.25001106,59.8
121,7324.63702552,60.7
122,7534.51690473,62.6
123,7639.90465974,63.5
124,7859.75637168,65.4
125,7945.02155247,66.4
126,7969.0431995,67.3
127,7966.97038395,68.3
128,7956.88517811,69.3
129,7945.80568602,70.2
130,7932.71781673,71.1
131,7918.62555102,72.0
132,7904.5278976,72.3
133,7889.43079653,73.8
134,7875.33238785,74.7
135,7861.23867977,75.6
136,7857.19151518,76.5
137,7865.19949575,77.4
138,7878.22826247,78.2
139,7893.26015591,79.1
140,7909.30616348,79.9
141,7925.36207375,80.8
142,7942.43193235,81.6
143,7959.50651717,82.4
144,8011.74237534,84.9
145,8084.07417739,88.2
146,8103.2081764,89.0
147,8122.3365815,89.8
148,8141.45944465,90.6
149,8160.57681615,91.3
150,8219.84111525,93.7
151,8239.96020007,94.4
152,8260.0882986,95.2
153,8279.23119232,95.9
154,8299.37703578,96.6
155,8320.52099564,97.4
156,8341.65467032,98.1
157,8362.79707088,98.9
158,8383.9386835,100.0
159,8406.08307352,100.0
160,8427.21842793,101.0
161,8443.34481053,102.0
162,8471.52637634,102.0
163,8493.72287666,103.0
164,8514.98359248,104.0
165,8605.5453868,107.0
166,8628.88217783,107.0
167,8651.16371249,108.0
168,8675.36955967,109.0
169,8698.55315059,109.0
170,8723.72421516,110.0
171,8826.15664368,113.0
172,8852.35640318,113.0
173,8986.89372086,116.0
174,9041.18846662,117.0
175,9123.54104606,119.0
176,9151.73887073,120.0
177,9208.01551521,121.0
178,9294.41681407,123.0
179,9323.6903835,123.0
180,9352.96942681,124.0
181,9383.22071704,124.0
182,9412.45153776,125.0
183,9472.77230074,126.0
184,9504.04166658,127.0
185,9534.30991939,127.0
186,9595.6404987,128.0
187,9625.89139627,129.0
188,9657.16095128,129.0
189,9688.44271399,130.0
190,9720.7238285,130.0
191,9751.97801588,131.0
192,9817.26920052,132.0
193,9849.47673596,132.0
194,9880.69821142,133.0
195,9912.95508304,133.0
196,9945.23743254,134.0
197,10011.5794785,135.0
198,10045.8345085,135.0
199,10078.0490616,135.0
200,10111.2567192,136.0
201,10146.4829063,136.0
202,10180.7416724,137.0
203,10215.0207483,137.0
204,10249.3031862,138.0
205,10284.5614056,138.0
206,10319.7878763,139.0
207,10352.9896128,139.0
208,10388.2466184,139.0
209,10425.6079942,140.0
210,10462.031594,140.0
211,10496.4237312,141.0
212,10531.7625462,141.0
213,10568.0610262,142.0
214,10606.3553025,142.0
215,10640.6022715,142.0
216,10676.8203091,143.0
217,10714.0173097,143.0
218,10751.231869,143.0
219,10789.4758375,144.0
220,10826.766208,144.0
221,10866.0902646,145.0
222,10902.4560442,145.0
223,10939.8245309,145.0
224,10978.184492,146.0
225,11016.4948769,146.0
226,11055.7721357,146.0
227,11095.0029387,147.0
228,11134.2035749,147.0
229,11172.3764358,148.0
230,11211.548191,148.0
231,11251.7401747,148.0
232,11289.9489702,149.0
233,11330.1866955,149.0
234,11369.4198462,149.0
235,11450.6836477,150.0
236,11491.8947051,150.0
237,11533.1003625,151.0
238,11573.2978345,151.0
239,11614.4930996,151.0
240,11655.6833187,151.0
241,11697.8713721,152.0
242,11739.074427,152.0
243,11782.3572481,152.0
244,11825.7548761,153.0
245,11867.1376648,153.0
246,11910.4330367,153.0
247,11954.6056628,154.0
248,11997.7654575,154.0
249,12040.9296874,154.0
250,12085.1020206,154.0
251,12129.259259,155.0
252,12173.4036724,155.0
253,12219.5349646,155.0
254,12264.6637393,156.0
255,12309.7920954,156.0
256,12354.9247659,156.0
257,12400.050509,156.0
258,12446.1714877,157.0
259,12492.2813397,157.0
260,12538.3910052,157.0
261,12584.4974693,157.0
262,12630.6022774,158.0
263,12677.7330914,158.0
264,12722.9197754,158.0
265,12771.1153033,158.0
266,12818.2797346,158.0
267,12866.3854676,159.0
268,12914.4771951,159.0
269,12961.5785071,159.0
270,13009.7304613,159.0
271,13058.901216,160.0
272,13109.1054783,160.0
273,13159.2855761,160.0
274,13208.4642875,160.0
275,13258.6117255,160.0
276,13308.7450949,161.0
277,13360.8628208,161.0
278,13411.9687905,161.0
279,13462.044839,161.0
280,13513.108405,161.0
281,13566.1618088,162.0
282,13618.2320488,162.0
283,13671.3007721,162.0
284,13723.3677435,162.0
285,13776.4248346,162.0
286,13828.4805745,162.0
287,13881.5432615,163.0
288,13935.6044862,163.0
289,13988.6717285,163.0
290,14602.7783996,163.0
291,14097.7862092,163.0
292,14151.8340233,163.0
293,14206.8737858,164.0
294,14262.9127767,164.0
295,14315.9507039,164.0
296,14370.9945376,164.0
297,14425.0307704,164.0
298,14481.0600095,164.0
299,14539.0825784,164.0
300,14597.11092,165.0
301,14654.1386414,165.0
302,14712.1717745,165.0
303,14769.1982927,165.0
304,14827.2299986,165.0
305,14886.2554425,165.0
306,14947.2804513,165.0
307,15004.2993838,166.0
308,15063.3180792,166.0
309,15123.3416828,166.0
310,15185.3648582,166.0
311,15249.3925704,166.0
312,15311.4146233,166.0
313,15373.436177,166.0
314,15434.4525332,166.0
315,15496.4686156,166.0
316,15559.4844245,166.0
317,15624.499992,167.0
318,15687.5151917,167.0
319,15754.5344932,167.0
320,15820.553291,167.0
321,15886.5716216,167.0
322,15950.5854438,167.0
323,16014.598982,167.0
324,16082.6123362,167.0
325,16149.6253827,167.0
326,16216.63815,167.0
327,16279.6541865,167.0
328,16343.6698174,167.0
329,16413.6851404,168.0
330,16482.6966544,168.0
331,16552.7079221,168.0
332,16621.718911,168.0
333,16690.7296425,168.0
334,16760.7401355,168.0
335,16831.7534073,168.0
336,16902.7662755,168.0
337,16971.7787191,168.0
338,17045.7852928,168.0
339,17119.7917375,168.0
340,17193.798055,168.0
341,17267.8068832,168.0
342,17340.8154653,168.0
343,17414.823826,168.0
344,17488.8319571,168.0
345,17563.8398706,168.0
346,17638.8475594,168.0
347,17715.8550426,168.0
348,17791.8601027,168.0
349,17869.8650658,168.0
350,17948.8699242,169.0
351,18026.8767277,169.0
352,18104.8833191,169.0
353,18185.8897195,169.0
354,18265.8959053,169.0
355,18345.9000604,169.0
356,18426.9041176,169.0
357,18506.9080676,169.0
358,18588.9136285,169.0
359,18672.9173559,169.0
360,18756.9209841,169.0
361,18840.9245144,169.0
362,18925.9294767,169.0
363,19010.9327792,169.0
364,19093.9345343,169.0
365,19176.9362581,169.0
366,19260.9393563,169.0
367,19349.9437266,169.0
368,19438.9466199,169.0
369,19528.948154,169.0
370,19617.9483892,169.0
371,19708.9486275,169.0
372,19803.9488739,169.0
373,19897.9491154,169.0
374,19987.9505876,169.0
375,20606.9544383,169.0
376,20170.9569651,169.0
377,20264.9594188,169.0
378,20362.960713,169.0
379,20461.9619816,169.0
380,20659.9644374,169.0
381,20754.9676115,169.0
382,20853.9696893,169.0
383,20952.9707679,169.0
384,21061.9709192,169.0
385,21163.9719708,169.0
386,21266.9738771,169.0
387,21370.9765388,169.0
388,21475.9782631,169.0
389,21581.9791493,168.0
390,21688.9792521,168.0
391,21794.9801107,168.0
392,21901.9816734,168.0
393,22009.9838457,168.0
394,22121.985239,168.0
395,22233.9859449,168.0
396,22344.9860148,168.0
397,22458.9860858,168.0
398,22574.9867656,168.0
399,22690.9880031,168.0
400,22809.9897097,168.0
401,22928.9907861,168.0
402,23048.9913228,168.0
403,23169.9913681,168.0
404,23292.9914137,168.0
405,23415.9919267,168.0
406,23540.9928612,168.0
407,23665.9941313,168.0
408,23791.9949148,168.0
409,23918.9949418,168.0
410,24051.9942255,168.0
411,24185.9930515,168.0
412,24319.9922268,168.0
413,24452.991821,168.0
414,24587.9918659,168.0
415,24723.9923539,168.0
416,24861.9932405,168.0
