time,horizontal_speed,vertical_speed,altitude
0,-2.82010394841,333.842067328,0.0
1,0.519985905114,471.713507891,0.0
2,4.27742442983,612.01556218,0.0
3,8.31351102256,808.441866774,0.0
4,12.4895450801,1063.67037146,0.1
5,16.6668259993,1325.47976405,0.2
6,20.706653177,1543.31489866,0.2
7,24.4703260099,1937.45016533,0.3
8,30.08250644,2402.70859504,0.6
9,33.397428689,2874.81935424,0.7
10,34.4863479981,3128.9300855,0.8
11,32.7152899892,3324.71573785,0.9
12,29.856847158,3650.14116927,1.0
13,22.8613513485,3980.12773524,1.3
14,15.7466443599,4312.0920981,1.5
15,10.6244707113,4516.79440191,1.6
16,9.63597372951,4723.44946465,1.7
17,8.28312922427,4933.5771999,1.8
18,4.21634484977,5150.22217091,2.0
19,1.27069339134,5374.45162205,2.1
20,8.4980479829,5680.17152019,2.3
21,26.2654232912,5993.39881393,2.6
22,55.3401986071,6309.14266742,2.8
23,91.0926868848,6546.9798036,2.9
24,134.456416231,6710.31313693,3.1
25,184.51788163,6793.55703432,3.3
26,238.867851395,6800.0,3.5
27,294.916379133,6800.0,3.7
28,353.23346974,6800.0,3.9
29,408.226630174,6800.0,4.1
30,456.56900351,6800.0,4.8
31,494.524979369,6800.0,5.0
32,526.011271903,6800.0,5.5
33,554.844378712,6800.0,5.7
34,582.59338074,6800.0,5.3
35,609.472280571,6800.0,6.2
36,636.390093535,6800.0,6.4
37,665.603066769,6800.0,6.6
38,698.068720198,6800.0,6.9
39,735.682096682,6800.0,7.2
40,777.526122759,6800.0,7.4
41,824.647022767,6800.0,7.7
42,875.136476169,6800.0,8.0
43,927.586603888,6800.0,8.5
44,980.756180023,6800.0,8.8
45,1032.60818545,6800.0,3.1
46,1083.29412342,6800.0,9.8
47,1132.93856569,6800.0,10.1
48,1182.6750011,6800.0,10.4
49,1231.47149245,6800.0,10.7
50,1280.22618187,6800.0,11.1
51,1328.94110228,6800.0,11.5
52,1377.77572978,6800.0,11.8
53,1426.93805514,6800.0,12.5
54,1476.60214554,6800.0,12.9
55,1527.16225322,6800.0,13.3
56,1577.24134101,6800.0,13.7
57,1625.16870352,6800.0,14.1
58,1669.11004422,6800.0,14.5
59,1711.6169836,6800.0,14.9
60,1758.27812497,6800.0,15.3
61,1813.42984068,6800.0,15.7
62,1876.7150624,6800.0,16.1
63,1945.63031247,6800.0,16.6
64,2018.94838129,6800.0,17.0
65,2095.35046503,6800.0,17.9
66,2173.57445919,6800.0,19.3
67,2252.10024439,6800.0,19.8
68,2329.36229761,6800.0,20.3
69,2403.75098822,6800.0,20.8
70,2473.63152063,6800.0,21.3
71,2537.36896026,6800.0,21.8
72,2594.41089254,6800.0,22.4
73,2650.81795063,6800.0,22.9
74,2710.54366739,6800.0,23.4
75,2776.82882898,6800.0,24.0
76,2846.49624597,6800.0,24.5
77,2918.92910636,6800.0,25.1
78,2993.68863006,6800.0,25.6
79,3068.55461372,6800.0,26.2
80,3144.49207023,6800.0,27.4
81,3222.11476512,6800.0,28.0
82,3304.06712605,6800.0,28.6
83,3389.27049343,6800.0,29.2
84,3476.54999823,6800.0,29.8
85,3564.36278107,6800.0,30.4
86,3651.27487689,6800.0,31.0
87,3738.91984797,6800.0,32.3
88,3827.66513465,6800.0,33.0
89,3918.42864227,6800.0,33.7
90,4008.86664836,6800.0,34.3
91,4098.21631922,6800.0,35.0
92,4185.46193884,6800.0,35.7
93,4269.8128881,6800.0,36.4
94,4353.96088286,6800.0,37.1
95,4439.28159375,6800.0,37.8
96,4527.72970086,6800.0,38.6
97,4617.65861015,6800.0,39.2
98,4708.93730476,6800.0,40.0
99,4801.2974011,6800.0,40.7
100,4894.76600832,6805.55555556,41.4
101,4989.52741477,6816.66666667,42.2
102,5080.3710827,6837.77777778,43.0
103,5172.01692831,6858.33333333,43.7
104,5268.06483711,6882.77777778,44.5
105,5376.96477797,6902.22222222,45.3
106,5496.63943194,6921.11111111,46.1
107,5625.53690645,6933.33333333,46.9
108,5737.0,6943.88888889,47.7
109,5844.0,6957.22222222,48.5
110,6049.49208765,6972.77777778,51.0
111,6195.43467392,6991.66666667,51.39
112,6338.75078629,7006.11111111,52.8
113,6476.40248126,7017.77777778,53.6
114,6602.94016765,7026.66666667,54.5
115,6717.82526721,7036.66666667,55.4
116,6817.73184906,7048.33333333,56.3
117,6917.72811957,7058.88888889,57.1
118,7024.35951706,7069.44444444,58.0
119,7146.53586459,7081.66666667,58.9
120,7257.0,7093.88888889,59.8
121,7359.0,7103.88888889,60.7
122,7536.66333695,7111.11111111,62.6
123,7656.05680398,7118.33333333,63.5
124,7761.315024,7126.66666667,65.4
125,7848.27441223,7134.44444444,66.4
126,7913.61689634,7142.77777778,67.3
127,7955.28398555,7151.11111111,68.3
128,7972.10221879,7157.77777778,69.3
129,7969.01675015,7160.55555556,70.2
130,7950.17067776,7161.11111111,71.1
131,7927.04538863,7162.77777778,72.0
132,7904.8064484,7167.77777778,72.3
133,7889.20328449,7174.44444444,73.8
134,7878.60002158,7181.11111111,74.7
135,7872.42347645,7187.22222222,75.6
136,7869.80346311,7193.33333333,76.5
137,7870.22623261,7197.77777778,77.4
138,7875.22436933,7198.33333333,78.2
139,7886.60953042,7196.11111111,79.1
140,7905.43773807,7195.0,79.9
141,7930.05380521,7196.66666667,80.8
142,7957.55540213,7200.0,81.6
143,7986.95359711,7203.33333333,82.4
144,8017.6467891,7205.0,84.9
145,8050.42538153,7202.22222222,88.2
146,8084.34326426,7195.0,89.0
147,8118.28425184,7185.0,89.8
148,8151.0318727,7176.66666667,90.6
149,8181.41425645,7169.44444444,91.3
150,8208.26012035,7165.0,93.7
151,8231.97996341,7161.11111111,94.4
152,8254.79523435,7156.66666667,95.2
153,8278.07547807,7150.0,95.9
154,8301.49648809,7140.0,96.6
155,8323.44841918,7130.55555556,97.4
156,8343.47146816,7120.55555556,98.1
157,8361.68335755,7113.88888889,98.9
158,8380.04490067,7106.11111111,100.0
159,8400.45832932,7099.44444444,100.0
160,8424.44808479,7090.0,101.0
161,8451.39463753,7082.22222222,102.0
162,8480.6192311,7072.77777778,102.0
163,8509.7685839,7060.0,103.0
164,8539.75955803,7036.66666667,104.0
165,8568.77869446,7004.44444444,107.0
166,8600.63563949,6971.66666667,107.0
167,8635.12077915,6945.55555556,108.0
168,8676.26239493,6929.44444444,109.0
169,8723.21307907,6915.55555556,109.0
170,8751.0,6903.88888889,110.0
171,8829.59470992,6888.88888889,113.0
172,8879.0,6873.33333333,113.0
173,8955.86152101,6855.0,116.0
174,9025.97673087,6836.66666667,117.0
175,9094.59777682,6820.55555556,119.0
176,9159.00626829,6804.44444444,120.0
177,9216.48916809,6787.77777778,121.0
178,9267.75131724,6764.44444444,123.0
179,9311.95092984,6737.22222222,123.0
180,9353.24874895,6708.88888889,124.0
181,9392.18698327,6684.44444444,124.0
182,9431.96623992,6662.22222222,125.0
183,9470.1839531,6637.77777778,126.0
184,9506.44145006,6610.0,127.0
185,9542.16631822,6581.66666667,127.0
186,9578.86497195,6554.44444444,128.0
187,9617.67865021,6527.77777778,129.0
188,9656.41449137,6498.33333333,129.0
189,9693.35493825,6466.66666667,130.0
190,9729.66300901,6435.0,130.0
191,9765.87268781,6406.66666667,131.0
192,9803.28221821,6383.33333333,132.0
193,9841.72682172,6361.66666667,132.0
194,9881.03470478,6337.22222222,133.0
195,9921.2311794,6307.22222222,133.0
196,9961.06036271,6272.77777778,134.0
197,9999.96981052,6238.88888889,135.0
198,10037.3553255,6208.33333333,135.0
199,10074.2218765,6183.33333333,135.0
200,10110.7968012,6159.44444444,136.0
201,10147.3329913,6132.77777778,136.0
202,10182.6512511,6100.0,137.0
203,10216.4818787,6063.33333333,137.0
204,10250.1445735,6025.55555556,138.0
205,10284.2090811,5991.66666667,138.0
206,10319.1784077,5962.77777778,139.0
207,10354.3026866,5937.22222222,139.0
208,10389.5803645,5902.17301744,139.0
209,10425.0790239,5848.609333,140.0
210,10460.7321386,5782.55377744,140.0
211,10496.473001,5720.43631556,141.0
212,10532.3648758,5667.33333333,141.0
213,10568.4189776,5621.16666667,142.0
214,10604.6854618,5575.55555556,142.0
215,10641.123301,5537.22222222,142.0
216,10677.7880385,5504.44444444,143.0
217,10714.7245117,5475.55555556,143.0
218,10751.8915909,5442.77777778,143.0
219,10789.2193233,5403.88888889,144.0
220,10826.666644,5354.7447262,144.0
221,10864.4073768,5298.33333333,145.0
222,10902.4034218,5231.41139286,145.0
223,10940.5893625,5162.78699625,145.0
224,10978.8694632,5094.75394467,146.0
225,11017.2574529,5036.12032958,146.0
226,11055.8383394,4983.88888889,146.0
227,11093.5813034,4941.11111111,147.0
228,11131.370187,4904.44444444,147.0
229,11169.8096984,4873.33333333,148.0
230,11210.456703,4842.22222222,148.0
231,11252.8979117,4806.11111111,148.0
232,11296.8004155,4765.0,149.0
233,11340.0,4716.66666667,149.0
234,11379.0,4668.33333333,149.0
235,11433.8289139,4620.0,150.0
236,11480.1174733,4575.55555556,150.0
237,11526.1157376,4531.66666667,151.0
238,11571.4994582,4488.88888889,151.0
239,11615.8732695,4446.11111111,151.0
240,11658.8500958,4403.88888889,151.0
241,11700.0224614,4361.66666667,152.0
242,11740.9478965,4314.39523966,152.0
243,11782.2835285,4244.49131088,152.0
244,11824.8687382,4140.17494328,153.0
245,11867.6944089,4036.33525917,153.0
246,11910.7488629,3955.6836324,153.0
247,11954.0031396,3910.55555556,154.0
248,11997.5477787,3868.33333333,154.0
249,12041.3481963,3823.88888889,154.0
250,12085.410115,3776.11111111,154.0
251,12129.7393889,3732.22222222,155.0
252,12174.3150784,3691.66666667,155.0
253,12219.127346,3655.0,155.0
254,12264.1703578,3618.33333333,156.0
255,12309.4492327,3581.11111111,156.0
256,12354.9637104,3541.66666667,156.0
257,12400.6010471,3503.88888889,156.0
258,12446.3600308,3467.22222222,157.0
259,12492.1667761,3433.88888889,157.0
260,12538.118761,3400.0,157.0
261,12584.2819689,3366.66666667,157.0
262,12630.717124,3333.33333333,158.0
263,12677.3714652,3289.488317,158.0
264,12724.1651282,3222.44881536,158.0
265,12771.1230007,3150.22659313,158.0
266,12818.3453929,3088.51605392,158.0
267,12865.919913,3050.0,159.0
268,12913.8751449,3016.66666667,159.0
269,12962.1348836,2978.37720588,159.0
270,13010.7408019,2916.8932598,159.0
271,13059.6714037,2845.04387255,160.0
272,13109.0006089,2754.95612745,160.0
273,13158.6248264,2672.9490663,160.0
274,13208.5761959,2588.28946078,160.0
275,13258.8198657,2516.66666667,160.0
276,13309.391533,2450.0,161.0
277,13360.2198107,2389.8423261,161.0
278,13411.3066199,2334.28677054,161.0
