time,altitude,speed
00:00:05,0.0,34
00:00:06,0.0,47
00:00:07,0.0,61
00:00:08,0.0,75
00:00:10,0.1,106
00:00:12,0.2,138
00:00:13,0.2,154
00:00:14,0.3,171
00:00:19,0.6,256
00:00:21,0.7,294
00:00:22,0.8,313
00:00:23,0.9,332
00:00:24,1.0,352
00:00:27,1.3,411
00:00:28,1.5,431
00:00:29,1.6,452
00:00:30,1.7,472
00:00:31,1.8,493
00:00:32,2.0,515
00:00:33,2.1,537
00:00:34,2.3,560
00:00:36,2.6,607
00:00:37,2.8,631
00:00:38,2.9,655
00:00:39,3.1,680
00:00:40,3.3,704
00:00:41,3.5,728
00:00:42,3.7,753
00:00:43,3.9,773
00:00:44,4.1,789
00:00:47,4.8,828
00:00:48,5.0,841
00:00:50,5.5,868
00:00:51,5.7,881
00:00:52,5.3,895
00:00:53,6.2,910
00:00:54,6.4,926
00:00:55,6.6,946
00:00:56,6.9,972
00:00:57,7.2,1000
00:00:58,7.4,1031
00:00:59,7.7,1063
00:01:00,8.0,1095
00:01:02,8.5,1161
00:01:03,8.8,1195
00:01:04,3.1,1228
00:01:06,9.8,1297
00:01:07,10.1,1332
00:01:08,10.4,1368
00:01:09,10.7,1405
00:01:10,11.1,1442
00:01:11,11.5,1480
00:01:12,11.8,1517
00:01:14,12.5,1596
00:01:15,12.9,1636
00:01:16,13.3,1678
00:01:17,13.7,1718
00:01:18,14.1,1762
00:01:19,14.5,1806
00:01:20,14.9,1849
00:01:21,15.3,1893
00:01:22,15.7,1937
00:01:23,16.1,1983
00:01:24,16.6,2030
00:01:25,17.0,2078
00:01:27,17.9,2180
00:01:30,19.3,2335
00:01:31,19.8,2390
00:01:32,20.3,2444
00:01:33,20.8,2500
00:01:34,21.3,2558
00:01:35,21.8,2618
00:01:36,22.4,2677
00:01:37,22.9,2738
00:01:38,23.4,2799
00:01:39,24.0,2861
00:01:40,24.5,2923
00:01:41,25.1,2987
00:01:42,25.6,3052
00:01:43,26.2,3118
00:01:45,27.4,3247
00:01:46,28.0,3316
00:01:47,28.6,3386
00:01:48,29.2,3454
00:01:49,29.8,3528
00:01:50,30.4,3603
00:01:51,31.0,3676
00:01:53,32.3,3828
00:01:54,33.0,3910
00:01:55,33.7,3994
00:01:56,34.3,4070
00:01:57,35.0,4150
00:01:58,35.7,4232
00:01:59,36.4,4316
00:02:00,37.1,4405
00:02:01,37.8,4493
00:02:02,38.6,4584
00:02:03,39.2,4667
00:02:04,40.0,4756
00:02:05,40.7,4847
00:02:06,41.4,4939
00:02:07,42.2,5034
00:02:08,43.0,5132
00:02:09,43.7,5230
00:02:10,44.5,5329
00:02:11,45.3,5428
00:02:12,46.1,5530
00:02:13,46.9,5633
00:02:14,47.7,5737
00:02:15,48.5,5844
00:02:18,51.0,6180
00:02:19,51.39,6293
00:02:20,52.8,6409
00:02:21,53.6,6527
00:02:22,54.5,6645
00:02:23,55.4,6755
00:02:24,56.3,6860
00:02:25,57.1,6960
00:02:26,58.0,7059
00:02:27,58.9,7156
00:02:28,59.8,7257
00:02:29,60.7,7359
00:02:31,62.6,7568
00:02:32,63.5,7673
00:02:34,65.4,7892
00:02:35,66.4,7977
00:02:36,67.3,8001
00:02:37,68.3,7999
00:02:38,69.3,7989
00:02:39,70.2,7978
00:02:40,71.1,7965
00:02:41,72.0,7951
00:02:42,72.3,7937
00:02:43,73.8,7922
00:02:44,74.7,7908
00:02:45,75.6,7894
00:02:46,76.5,7890
00:02:47,77.4,7898
00:02:48,78.2,7911
00:02:49,79.1,7926
00:02:50,79.9,7942
00:02:51,80.8,7958
00:02:52,81.6,7975
00:02:53,82.4,7992
00:02:56,84.9,8044
00:03:00,88.2,8116
00:03:01,89.0,8135
00:03:02,89.8,8154
00:03:03,90.6,8173
00:03:04,91.3,8192
00:03:07,93.7,8251
00:03:08,94.4,8271
00:03:09,95.2,8291
00:03:10,95.9,8310
00:03:11,96.6,8330
00:03:12,97.4,8351
00:03:13,98.1,8372
00:03:14,98.9,8393
00:03:15,100,8414
00:03:16,100,8436
00:03:17,101,8457
00:03:18,102,8473
00:03:19,102,8501
00:03:20,103,8523
00:03:21,104,8544
00:03:25,107,8634
00:03:26,107,8657
00:03:27,108,8679
00:03:28,109,8703
00:03:29,109,8726
00:03:30,110,8751
00:03:34,113,8853
00:03:35,113,8879
00:03:40,116,9013
00:03:42,117,9067
00:03:45,119,9149
00:03:46,120,9177
00:03:48,121,9233
00:03:51,123,9319
00:03:52,123,9348
00:03:53,124,9377
00:03:54,124,9407
00:03:55,125,9436
00:03:57,126,9496
00:03:58,127,9527
00:03:59,127,9557
00:04:01,128,9618
00:04:02,129,9648
00:04:03,129,9679
00:04:04,130,9710
00:04:05,130,9742
00:04:06,131,9773
00:04:08,132,9838
00:04:09,132,9870
00:04:10,133,9901
00:04:11,133,9933
00:04:12,134,9965
00:04:14,135,10031
00:04:15,135,10065
00:04:16,135,10097
00:04:17,136,10130
00:04:18,136,10165
00:04:19,137,10199
00:04:20,137,10233
00:04:21,138,10267
00:04:22,138,10302
00:04:23,139,10337
00:04:24,139,10370
00:04:25,139,10405
00:04:26,140,10442
00:04:27,140,10478
00:04:28,141,10512
00:04:29,141,10547
00:04:30,142,10583
00:04:31,142,10621
00:04:32,142,10655
00:04:33,143,10691
00:04:34,143,10728
00:04:35,143,10765
00:04:36,144,10803
00:04:37,144,10840
00:04:38,145,10879
00:04:39,145,10915
00:04:40,145,10952
00:04:41,146,10990
00:04:42,146,11028
00:04:43,146,11067
00:04:44,147,11106
00:04:45,147,11145
00:04:46,148,11183
00:04:47,148,11222
00:04:48,148,11262
00:04:49,149,11300
00:04:50,149,11340
00:04:51,149,11379
00:04:53,150,11460
00:04:54,150,11501
00:04:55,151,11542
00:04:56,151,11582
00:04:57,151,11623
00:04:58,151,11664
00:04:59,152,11706
00:05:00,152,11747
00:05:01,152,11790
00:05:02,153,11833
00:05:03,153,11874
00:05:04,153,11917
00:05:05,154,11961
00:05:06,154,12004
00:05:07,154,12047
00:05:08,154,12091
00:05:09,155,12135
00:05:10,155,12179
00:05:11,155,12225
00:05:12,156,12270
00:05:13,156,12315
00:05:14,156,12360
00:05:15,156,12405
00:05:16,157,12451
00:05:17,157,12497
00:05:18,157,12543
00:05:19,157,12589
00:05:20,158,12635
00:05:21,158,12682
00:05:22,158,12727
00:05:23,158,12775
00:05:24,158,12822
00:05:25,159,12870
00:05:26,159,12918
00:05:27,159,12965
00:05:28,159,13013
00:05:29,160,13062
00:05:30,160,13112
00:05:31,160,13162
00:05:32,160,13211
00:05:33,160,13261
00:05:34,161,13311
00:05:35,161,13363
00:05:36,161,13414
00:05:37,161,13464
