time,vertical_speed,altitude
0,33.3846589089,0.0
1,47.1715138715,0.0
2,61.2013532932,0.0
3,80.8440079521,0.0
4,106.367003213,0.1
5,132.548095901,0.2
6,154.331491722,0.2
7,193.744937651,0.3
8,240.270922402,0.6
9,287.48212141,0.7
10,312.893116268,0.8
11,332.471434606,0.9
12,365.014102715,1.0
13,398.012760664,1.3
14,431.209334776,1.5
15,451.679427331,1.6
16,472.344934773,1.7
17,493.357695438,1.8
18,515.022194723,2.0
19,537.445049617,2.1
20,568.01713475,2.3
21,599.3398748,2.6
22,630.914353057,2.8
23,654.698620027,2.9
24,671.03195336,3.1
25,679.356352103,3.3
26,680.0,3.5
27,680.0,3.7
28,680.0,3.9
29,680.0,4.1
30,680.0,4.8
31,680.0,5.0
32,680.0,5.5
33,680.0,5.7
34,680.0,5.3
35,680.0,6.2
36,680.0,6.4
37,680.0,6.6
38,680.0,6.9
39,680.0,7.2
40,680.0,7.4
41,680.0,7.7
42,680.0,8.0
43,680.0,8.5
44,680.0,8.8
45,680.0,3.1
46,680.0,9.8
47,680.0,10.1
48,680.0,10.4
49,680.0,10.7
50,680.0,11.1
51,680.0,11.5
52,680.0,11.8
53,680.0,12.5
54,680.0,12.9
55,680.0,13.3
56,680.0,13.7
57,680.0,14.1
58,680.0,14.5
59,680.0,14.9
60,680.0,15.3
61,680.0,15.7
62,680.0,16.1
63,680.0,16.6
64,680.0,17.0
65,680.0,17.9
66,680.0,19.3
67,680.0,19.8
68,680.0,20.3
69,680.0,20.8
70,680.0,21.3
71,680.0,21.8
72,680.0,22.4
73,680.0,22.9
74,680.0,23.4
75,680.0,24.0
76,680.0,24.5
77,680.0,25.1
78,680.0,25.6
79,680.0,26.2
80,680.0,27.4
81,680.0,28.0
82,680.0,28.6
83,680.0,29.2
84,680.0,29.8
85,680.0,30.4
86,680.0,31.0
87,680.0,32.3
88,680.0,33.0
89,680.0,33.7
90,680.0,34.3
91,680.0,35.0
92,680.0,35.7
93,680.0,36.4
94,680.0,37.1
95,680.0,37.8
96,680.0,38.6
97,680.0,39.2
98,680.0,40.0
99,680.0,40.7
100,680.555555556,41.4
101,681.666666667,42.2
102,683.777777778,43.0
103,685.833333333,43.7
104,688.111111111,44.5
105,689.888888889,45.3
106,691.666666667,46.1
107,693.111111111,46.9
108,694.388888889,47.7
109,695.833333333,48.5
110,697.333333333,51.0
111,699.111111111,51.39
112,700.5,52.8
113,701.722222222,53.6
114,702.666666667,54.5
115,703.722222222,55.4
116,704.777777778,56.3
117,705.888888889,57.1
118,707.0,58.0
119,708.222222222,58.9
120,709.333333333,59.8
121,710.333333333,60.7
122,711.111111111,62.6
123,711.888888889,63.5
124,712.666666667,65.4
125,713.555555556,66.4
126,714.388888889,67.3
127,715.111111111,68.3
128,715.611111111,69.3
129,716.0,70.2
130,716.388888889,71.1
131,716.777777778,72.0
132,717.222222222,72.3
133,717.611111111,73.8
134,718.055555556,74.7
135,718.444444444,75.6
136,718.777777778,76.5
137,719.055555556,77.4
138,719.333333333,78.2
139,719.666666667,79.1
140,719.888888889,79.9
141,720.0,80.8
142,720.0,81.6
143,719.944444444,82.4
144,719.666666667,84.9
145,719.166666667,88.2
146,718.5,89.0
147,717.888888889,89.8
148,717.333333333,90.6
149,716.833333333,91.3
150,716.388888889,93.7
151,715.888888889,94.4
152,715.277777778,95.2
153,714.444444444,95.9
154,713.611111111,96.6
155,712.833333333,97.4
156,712.166666667,98.1
157,711.388888889,98.9
158,710.611111111,100.0
159,709.833333333,100.0
160,709.111111111,101.0
161,708.277777778,102.0
162,707.277777778,102.0
163,705.833333333,103.0
164,703.555555556,104.0
165,700.388888889,107.0
166,697.166666667,107.0
167,694.555555556,108.0
168,692.944444444,109.0
169,691.555555556,109.0
170,690.388888889,110.0
171,688.888888889,113.0
172,687.333333333,113.0
173,685.5,116.0
174,683.666666667,117.0
175,682.055555556,119.0
176,680.444444444,120.0
177,678.777777778,121.0
178,676.444444444,123.0
179,673.722222222,123.0
180,670.888888889,124.0
181,668.444444444,124.0
182,666.222222222,125.0
183,663.777777778,126.0
184,661.0,127.0
185,658.166666667,127.0
186,655.444444444,128.0
187,652.777777778,129.0
188,649.833333333,129.0
189,646.666666667,130.0
190,643.5,130.0
191,640.666666667,131.0
192,638.333333333,132.0
193,636.166666667,132.0
194,633.722222222,133.0
195,630.722222222,133.0
196,627.277777778,134.0
197,623.888888889,135.0
198,620.833333333,135.0
199,618.333333333,135.0
200,615.944444444,136.0
201,613.277777778,136.0
202,610.0,137.0
203,606.333333333,137.0
204,602.555555556,138.0
205,599.166666667,138.0
206,596.277777778,139.0
207,593.722222222,139.0
208,590.217921958,139.0
209,584.860625849,140.0
210,578.255070293,140.0
211,572.04270389,141.0
212,566.733333333,141.0
213,562.116666667,142.0
214,557.555555556,142.0
215,553.722222222,142.0
216,550.444444444,143.0
217,547.555555556,143.0
218,544.277777778,143.0
219,540.388888889,144.0
220,535.475001715,144.0
221,529.833333333,145.0
222,523.141668382,145.0
223,516.278251235,145.0
224,509.475475172,146.0
225,503.611584568,146.0
226,498.388888889,146.0
227,494.111111111,147.0
228,490.444444444,147.0
229,487.333333333,148.0
230,484.222222222,148.0
231,480.611111111,148.0
232,476.5,149.0
233,471.666666667,149.0
234,466.833333333,149.0
235,462.0,150.0
236,457.555555556,150.0
237,453.166666667,151.0
238,448.888888889,151.0
239,444.611111111,151.0
240,440.388888889,151.0
241,436.166666667,152.0
242,431.44014418,152.0
243,424.449853496,152.0
244,414.017644513,153.0
245,403.633055888,153.0
246,395.567791017,153.0
247,391.055555556,154.0
248,386.833333333,154.0
249,382.388888889,154.0
250,377.611111111,154.0
251,373.222222222,155.0
252,369.166666667,155.0
253,365.5,155.0
254,361.833333333,156.0
255,358.111111111,156.0
256,354.166666667,156.0
257,350.388888889,156.0
258,346.722222222,157.0
259,343.388888889,157.0
260,340.0,157.0
261,336.666666667,157.0
262,333.333333333,158.0
263,328.949330677,158.0
264,322.244299395,158.0
265,315.022077173,158.0
266,308.850524273,158.0
267,305.0,159.0
268,301.666666667,159.0
269,297.838219566,159.0
270,291.688743839,159.0
271,284.504886233,160.0
272,275.495113767,160.0
273,267.295952107,160.0
274,258.8284471,160.0
275,251.666666667,160.0
276,245.0,161.0
277,238.984695947,161.0
278,233.429140391,161.0
279,229.444444444,161.0
280,226.111111111,161.0
281,223.333333333,162.0
282,219.444444444,162.0
283,215.555555556,162.0
284,211.666666667,162.0
285,208.333333333,162.0
286,205.0,162.0
287,201.111111111,163.0
288,197.222222222,163.0
289,192.777777778,163.0
290,188.888888889,163.0
291,185.0,163.0
292,181.666666667,163.0
293,178.888888889,164.0
294,176.111111111,164.0
295,173.333333333,164.0
296,170.0,164.0
297,167.222222222,164.0
298,165.0,164.0
299,163.333333333,164.0
300,161.111111111,165.0
301,158.888888889,165.0
302,156.111111111,165.0
303,153.888888889,165.0
304,151.111111111,165.0
305,148.888888889,165.0
306,146.666666667,165.0
307,145.0,166.0
308,143.333333333,166.0
309,141.111111111,166.0
310,138.888888889,166.0
311,136.111111111,166.0
312,133.888888889,166.0
313,131.666666667,166.0
314,130.0,166.0
315,128.333333333,166.0
316,126.666666667,166.0
317,125.0,167.0
318,123.333333333,167.0
319,121.111111111,167.0
320,118.888888889,167.0
321,116.666666667,167.0
322,115.0,167.0
323,113.333333333,167.0
324,111.666666667,167.0
325,110.0,167.0
326,108.333333333,167.0
327,106.111111111,167.0
328,103.888888889,167.0
329,101.666666667,168.0
330,100.0,168.0
331,98.3333333333,168.0
332,96.6666666667,168.0
333,95.0,168.0
334,93.3333333333,168.0
335,91.1111111111,168.0
336,88.8888888889,168.0
337,86.6666666667,168.0
338,85.5555555556,168.0
339,84.4444444444,168.0
340,83.3333333333,168.0
341,81.6666666667,168.0
342,80.0,168.0
343,78.3333333333,168.0
344,76.6666666667,168.0
345,75.0,168.0
346,73.3333333333,168.0
347,71.6666666667,168.0
348,70.5555555556,168.0
349,69.4444444444,168.0
350,68.3333333333,169.0
351,66.6666666667,169.0
352,65.0,169.0
353,63.3333333333,169.0
354,61.6666666667,169.0
355,60.5555555556,169.0
356,59.4444444444,169.0
357,58.3333333333,169.0
358,56.6666666667,169.0
359,55.5555555556,169.0
360,54.4444444444,169.0
361,53.3333333333,169.0
362,51.6666666667,169.0
363,50.5555555556,169.0
364,50.0,169.0
365,49.4444444444,169.0
366,48.3333333333,169.0
367,46.6666666667,169.0
368,45.5555555556,169.0
369,45.0,169.0
370,45.0,169.0
371,45.0,169.0
372,45.0,169.0
373,45.0,169.0
374,44.4444444444,169.0
375,43.3333333333,169.0
376,41.6666666667,169.0
377,40.5555555556,169.0
378,40.0,169.0
379,39.4444444444,169.0
380,38.3333333333,169.0
381,36.6666666667,169.0
382,35.5555555556,169.0
383,35.0,169.0
384,35.0,169.0
385,34.4444444444,169.0
386,33.3333333333,169.0
387,31.6666666667,169.0
388,30.5555555556,169.0
389,30.0,168.0
390,30.0,168.0
391,29.4444444444,168.0
392,28.3333333333,168.0
393,26.6666666667,168.0
394,25.5555555556,168.0
395,25.0,168.0
396,25.0,168.0
397,25.0,168.0
398,24.4444444444,168.0
399,23.3333333333,168.0
400,21.6666666667,168.0
401,20.5555555556,168.0
402,20.0,168.0
403,20.0,168.0
404,20.0,168.0
405,19.4444444444,168.0
406,18.3333333333,168.0
407,16.6666666667,168.0
408,15.5555555556,168.0
409,15.5555555556,168.0
410,16.6666666667,168.0
411,18.3333333333,168.0
412,19.4444444444,168.0
413,20.0,168.0
414,20.0,168.0
415,19.4444444444,168.0
416,18.3333333333,168.0
417,16.6666666667,168.0
418,15.5555555556,168.0
419,15.0,168.0
420,15.0,168.0
421,15.0,168.0
422,15.0,168.0
423,15.0,168.0
424,15.0,168.0
425,15.0,168.0
426,15.0,168.0
427,14.4444444444,168.0
428,13.3333333333,168.0
429,11.6666666667,168.0
430,10.5555555556,168.0
431,10.0,168.0
432,10.0,168.0
433,10.0,168.0
434,10.0,168.0
435,10.0,168.0
436,10.0,168.0
437,10.0,168.0
438,10.0,168.0
439,10.0,168.0
440,10.0,168.0
441,10.0,168.0
442,10.0,168.0
443,10.0,168.0
444,10.0,168.0
445,10.0,168.0
446,10.0,168.0
447,10.0,168.0
448,10.0,168.0
449,10.0,168.0
450,10.0,168.0
451,10.0,168.0
452,10.0,168.0
453,10.0,168.0
454,10.0,168.0
455,10.0,168.0
456,10.0,168.0
457,10.0,168.0
458,10.0,168.0
459,10.0,168.0
460,10.0,168.0
461,10.0,168.0
462,10.0,168.0
463,10.0,168.0
464,10.0,168.0
465,10.0,168.0
466,10.0,168.0
467,10.0,168.0
468,10.0,168.0
469,10.0,168.0
470,10.0,168.0
471,10.0,168.0
472,10.0,169.0
473,10.0,169.0
474,10.0,169.0
475,10.0,169.0
476,10.0,169.0
477,10.0,169.0
478,10.0,169.0
479,10.0,169.0
480,10.0,169.0
481,10.0,169.0
482,10.0,169.0
483,10.0,169.0
484,10.0,169.0
485,10.0,169.0
486,10.0,169.0
487,10.0,169.0
488,10.0,169.0
489,10.0,169.0
490,10.0,169.0
491,10.0,169.0
492,10.0,169.0
493,10.0,169.0
494,10.0,169.0
495,10.0,169.0
496,10.0,169.0
497,10.0,169.0
498,10.0,169.0
499,10.0,169.0
500,10.0,169.0
501,10.0,169.0
502,10.0,169.0
503,10.0,169.0
504,10.0,169.0
505,10.0,169.0
506,10.0,169.0
507,10.0,169.0
508,10.0,169.0
509,10.0,169.0
510,10.0,169.0
511,10.0,170.0
512,10.0,170.0
513,10.0,170.0
514,10.0,170.0
515,10.0,170.0
516,10.0,170.0
517,10.0,170.0
518,10.0,170.0
519,10.0,170.0
520,10.0,170.0
521,10.0,170.0
522,10.0,170.0
523,10.0,170.0
524,10.0,170.0
525,10.0,170.0
526,10.0,170.0
527,10.0,170.0
528,10.0,170.0
529,8.88888888889,170.0
530,7.22222222222,170.0
