time,phase
00:00:02, LIFTOFF THE HOLDOOWN CLAMPS HAVE RELEASED FALCON 9 AND WE HAVE BEGUN OUR FLIGHT 
00:00:03, LIFTOFF THE HOLDOOWN CLAMPS WAVE RELEASED FALCON 9 AND WE HAVE BEGUN OUR FLIGHT 
00:00:04, LIFTOFF THE HOLDOOWN CLAMPS HAVE RELEASED FALCON 9 AND WE HAVE BEGUN OUR FLIGHT 
00:00:05, LIFTOFF THE HOLDOOWN CLAMPS HAVE RELEASED FALCON 9 AND WE HAVE BEGUN OUR FLIGHT 
00:00:06, LIFTOFF THE HOLDOOWN CLAMPS HAVE RELEASED FALCON 9 AND WE HAVE BEGUN OUR FLIGHT 
00:00:07, ey blFTOFF a i a ae ee 
00:01:14, MAX eePtP Shi lea be 8 oe brcicta ry a 8t yg ooh these dt trigd s a Se fie it 
00:01:15, MAX Q MAXIMUM DYNAMIC PRESSURE THIS IS THE HIGEST AMOUNT OF AERODYNAMIC STRESS EXERTED ON THE VEHICLE 
00:01:16, MAX Q MAXIMUM DYNAMIC PRESSURE THIS IS THE HIGEST AMDUNT OF AERODYNAMIC STRESS EXERTED ON THE VEHICLE 
00:01:17, MAX Q MAXIMUM DYNAMIC PRESSURE THIS IS THE HIGEST AMDUNT OF AERODYNAMIC STRESS EXERTED ON THE VEHICLE 
00:01:19, MAX Q MAXIMUM DYNAMIC PRESSURE THIS IS THE HIGEST AMDUNT OF AERODYNAMIC STRESS EXERTED ON THE VEHICLE 
00:01:20, MAX Q MAXIMUM DYNAMIC PRESSURE THIS IS THE HIGEST AMDUNT OF AEROUYNAMIC STRESS EXERTED ON THE VEHICLE 
00:01:21, MAX Q MAXIMUM DYNAMIC PRESSURE THIS IS THE HIGEST AMDUNT OF AERODYNAMIC STRESS EXERTED ON THE VEHICLE 
00:02:36, MECO MAIN ENGINE CUTOFF 
00:02:37, MECO MAIN ENGINE CUTOFF 
00:02:39, STAGE SEPARATION STAGE 1 HAS SEPARATED FROM STAGE 2 
00:02:40, STAGE SEPARATION STAGE 1 HAS SEPARATED FROM STAGE 2 
00:02:41, STAGE SEPARATION STAGE 1 HAS SEPARATED FROM STAGE 2 
00:02:43, STAGE SEPARATION STAGE 1 HAS SEPARATED FROM STAGE 2 
00:02:44, STAGE SEPARATION STAGE 1 HAS SEPARATED FROM STAGE 2 
00:02:45, STAGE SEPARATION STAGE 1 HAS SEPARATED FROM STAGE 2 
00:02:46, STAGE SEPARATION STAGE 1 HAS SEPARATED FROM STAGE 2 
00:02:48, SES 1 SECOND ENGINE STARTUP 
00:02:49, SES 1 SECOND ENGINE STARTUP 
00:02:49, SES 1 SECOND ENGINE STARTUP 
00:02:50, SES 1 SECOND ENGINE STARTUP 
00:02:51, SES 1 SECOND ENGINE STARTUP 
00:02:52, SES 1 SECOND ENGINE STARTUP 
00:03:12, FAIRING DEPLOY PROTECTIVE NOSECONE AT THE TOP OF THE ROCKET HAS BEEN DEPLOYED 
00:03:13, FAIRING DEPLOY PROTECTIVE NOSECONE AT THE TOP OF THE ROCKET HAS BEEN DEPLOYED 
00:03:14, FAIRING DEPLOY PROTECTIVE NOSECGNE AT THE TOP OF THE ROCKET HAS BEEN DEPLOYED 
00:03:15, FAIRING DEPLOY PROTECTIVE NOSECONE AT THE TOP OF THE ROCKET HAS BEEN DEPLOYED 
00:03:16, FAIRING DEPLOY PROTECTIVE NOSECGNE AT THE TOP OF THE ROCKET HAS BEEN DEPLOYED 
00:03:17, FAIRING DEPLOY PROTECTIVE NOSECONE AT THE TOP OF THE ROCKET HAS BEEN DEPLOYED 
00:03:17, FAIRING DEPLOY PROTECTIVE NOSECONE AT THE TOP OF THE ROCKET HAS BEEN DEPLOYED 
00:06:53, STAGE ENTRY STAGE 1 IS STARTING ITS ENTRY BURN SLOWING IT DOWN FOR ENTRY INTO THE ATMOSPHERE 
00:06:53, STAGE ENTRY STAGE 1 IS STARTING ITS ENTRY BURN SLOWING IT DOWN FOR ENTRY INTO THE ATMOSPHERE 
00:06:54, STAGE ENTRY STAGE 1 IS STARTING ITS ENTRY BURN SLOWING IT DOWN FOR ENTRY INTO THE ATMOSPHERE 
00:06:55, STAGE ENTRY STAGE 1 IS STARTING ITS ENTRY BURN SLOWING IT DOWN FOR ENTRY INTO THE ATMOSPHERE 
00:06:56, STAGE ENTRY STAGE 1 IS STARTING ITS ENTRY BURN SLOWING IT DOWN FOR ENTRY INTO THE ATMOSPHERE 
00:06:57, STAGE ENTRY STAGE 1 IS STARTING ITS ENTRY BURN SLOWING IT DOWN FOR ENTRY INTO THE ATMOSPHERE 
00:08:28, STAGE 1 LANDING STAGE HAS BEGUN ITS LANDING BURN SLOWING IT FOR TOUCHODWN AT SEA 
00:08:29, STAGE 1 LANDING STAGE HAS BEGUN ITS LANDING BURN SLOWING IT FOR TOUCHODWN AT SEA 
00:08:30, STAGE 1 LANDING STAGE HAS BEGUN ITS LANDING BURN SLOWING IT FOR TOUCHODWN AT SEA 
00:08:31, STAGE 1 LANDING STAGE HAS BEGUN ITS LANDING BURN SLOWING IT FOR TOUCHODWN AT SEA 
00:08:33, STAGE 1 LANDING STAGE HAS BEGUN ITS LANDING BURN SLOWING IT FOR TOUCHODWN AT SEA 
00:08:34, STAGE 1 LANDING STAGE HAS BEGUN ITS LANDING BURN SLOWING IT FOR TOUCHODWN AT SEA 
00:08:35, STAGE 1 LANDING STAGE HAS BEGUN ITS LANDING BURN SLOWING IT FOR TOUCHODWN AT SEA 
00:08:54, SECQ 1 
00:08:54, SECO 1 SECOND ENGINE CUTOFF 1 
00:08:55, SECO 1 SECOND ENGINE CUTOFF 1 
00:08:56, SECO 1 SECOND ENGINE CUTOFF 1 
00:08:57, SECO 1 SECOND ENGINE CUTOFF 1 
00:08:58, SECO 1 SECOND ENGINE CUTOFF 1 
00:08:59, SECO 1 SECOND ENGINE CUTOFF 1 
00:09:00, SECO 1 SECOND ENGINE CUTOFF 1 
