TIME,PHASE
T-00:00:03, STARTUP THE FALCON 9 FLIGHT COMPUTERS HAVE TAKEN CONTROL DF THE COUNTDOWN 
T-00:00:02, STARTUP THE FALCON 9 FLIGHT COMPUTERS HAVE FAKER CONTROL DF THE COUNTODWN 
00:00:01, LIFTOFF THE HOLODOWN CLAMPS HAVE RELEASED FALCON 9 AND WE HAVE BEGUN OUR FLIGHT 
00:00:02, LIFTOFF THE HOLDDOWN CLAMPS HAVE RELEASED FALCON 9 AND WE HAVE BEGUN OUR FLIGHT 
00:00:03, LIFTOFF THE HOLODOWN CLAMPS HAVE RELEASED FALCON 9 AND WE HAVE BEGUN OUR FLIGHT 
00:00:04, LIFTOFF THE HOLODOWN CLAMPS HAVE RELEASED FALCON 9 AND WE HAVE BEGUN OUR FLIGHT 
00:00:05, LIFTOFF THE HOLDDOWN CLAMPS HAVE RELEASED FALCON 9 AND WE HAVE BEGUN OUR FLIGHT 
00:00:06, LIFTOFF THE HOLDDOWN CLAMPS HAVE RELEASED FALCON 9 AND WE HAVE BEGUN OUR FLIGHT 
00:00:08, LIFTOFF THE HOLDDOWN CLAMPS HAVE RELEASED FALCON 9 AND WE HAVE BEGUN OUR FLIGHT 
00:01:18, MAX Q MAXIMUM DYNAMIC PRESSURE THIS IS THE HIGEST AMOUNT OF AERODYNAMIC STRESS EXERTED OW FRE VEHICLE 
00:01:19, MAX O MAXIMUM OYNAMIC PRESSURE THIS IS THE HIGEST AMOUNT OF AERODYNAMIC STRESS EXERTED ON THE VEHICLE 
00:01:20, MAX Q MAXIMUM DYNAMIC PRESSURE THIS IS THE HIGEST AMOUNT OF AERODYNAMIC STRESS EXERTED OW THE VEHICLE 
00:01:21, MAX Q MAXIMUM DYNAMIC PRESSURE THIS IS THE HIGEST AMOUNT OF AERODYNAMIC STRESS EXERTED OW THE VEHICLE 
00:01:22, MAX Q MAXIMUM DYNAMIC PRESSURE THIS IS THE HIGEST AMOUNT OF AERODYNAMIC STRESS EXERTED OW THE VEHICLE 
00:01:23, MAX Q MAXIMUM DYNAMIC PRESSURE THIS IS THE HIGEST AMOUNT OF AERODYNAMIC STRESS EXERTED ON THE VEHICLE 
00:01:24, MAX Q MAXIMUM DYNAMIC PRESSURE THIS IS THE HIGEST AMOUNT OF AERODYNAMIC STRESS EXERTED ON THE VEHICLE 
00:01:24, MAX Q MAXIMUM DYNAMIC PRESSURE THIS IS THE HIGEST AMOUNT OF AERODYNAMIC STRESS EXERTED ON THE VEHICLE 
00:02:36, MECO MAIN ENGINE CUTOFF 
00:02:37, MECO MAIN ENGINE CUTOFF 
00:02:38, MECO MAIN ENGINE CUTOFF 
00:02:39, STAGE SEPARATION STAGE 1 HAS SEPARATED FROM STAGE 2 
00:02:40, STAGE SEPARATION STAGE 1 HAS SEPARATED FROM STAGE 2 
00:02:41, STAGE SEPARATION STAGE 1 HAS SEPARATED FROM STAGE 2 
00:02:42, STAGE SEPARATION STAGE 1 HAS SEPARATED FROM STAGE 2 
00:02:43, STAGE SEPARATION STAGE 1 HAS SEPARATED FROM STAGE 2 
