Time,Altitude KM,Speed KM/H
00:00:01,0.0,5
00:00:03,0.0,17
00:00:06,0.0,52
00:00:08,0.0,66
00:00:08,0.0,80
00:00:10,0.2,109
00:00:12,0.2,123
00:00:13,0.2,138
00:00:14,0.3,153
00:00:15,0.3,169
00:00:15,0.4,183
00:00:17,0.4,1399
00:00:18,0.5,215
00:00:19,0.5,232
00:00:21,0.7,266
00:00:22,0.7,284
00:00:23,0.8,301
00:00:25,1.0,337
00:00:26,1.1,355
00:00:28,1.3,393
00:00:28,1.4,412
00:00:29,1.5,432
00:00:30,1.6,453
00:00:31,1.8,474
00:00:32,19,495
00:00:33,2.1,516
00:00:34,2.2,537
00:00:35,2.3,558
00:00:36,25,586
00:00:37,2.7,603
00:00:38,2.8,626
00:00:39,3.0,650
00:00:40,3.2,674
00:00:41,3.4,698
00:00:43,3.8,749
00:00:44,4.40,774
00:00:45,4.2,800
00:00:46,4.4,825
00:00:47,4.6,851
00:00:48,4.8,879
00:00:50,5.3,933
00:00:51,5.5,961
00:00:52,5.8,986
00:00:53,6.1,1009
00:00:54,6.3,1029
00:00:55,6.6,1048
00:00:56,6.9,1066
00:00:57,7.1,1082
00:00:58,7.4,1098
00:00:59,7.7,1117
00:01:00,8.0,1138
00:01:01,8.2,1163
00:01:02,8.5,1193
00:01:03,8.8,1223
00:01:06,3.5,1291
00:01:06,9.8,1325
00:01:07,10.1,1358
00:01:08,10.4,1394
00:01:09,10.7,1430
00:01:11,11.1,1467
00:01:12,11.4,1504
00:01:13,11.8,1542
00:01:14,12.1,1581
00:01:15,12.5,16820
00:01:16,12.9,1658
00:01:17,13.2,16893
00:01:18,13.6,1738
00:01:19,14.0,17739
00:01:20,14.4,1821
00:01:21,14.8,1865
00:01:22,15.2,1909
00:01:23,156,1954
00:01:24,16.0,1999
00:01:24,16.5,2045
00:01:26,17.3,2140
00:01:27,17.7,2189
00:01:31,19.6,2396
00:01:32,20.0,2450
00:01:34,21.0,2560
00:01:35,21.5,2618
00:01:36,22.0,2676
00:01:37,22.5,2735
00:01:39,23.5,2855
00:01:40,24.1,29316
00:01:41,24.6,2980
00:01:42,25.2,3044
00:01:43,25.7,3108
00:01:45,26.8,3236
00:01:46,27.3,3302
00:01:47,27.3,3368
00:01:48,28.5,3436
00:01:49,29.1,3505
00:01:50,29.7,3574
00:01:51,30.3,3645
00:01:52,30.8,3719
00:01:53,31.5,3793
00:01:55,32.8,3946
00:01:56,33.5,4023
00:01:57,34.1,4101
00:01:58,34.8,4185
00:02:02,36.9,4433
00:02:03,37.6,4518
00:02:04,38.3,4600
00:02:05,39.0,4686
00:02:06,39.8,4773
00:02:08,41.3,4950
00:02:09,42.0,5040
00:02:10,42.8,5131
00:02:12,44.4,5320
00:02:13,45.2,5417
00:02:14,46.1,5519
00:02:15,46.39,5617
00:02:15,47.8,5716
00:02:17,48.6,5818
00:02:18,49.5,5920
00:02:19,50.4,6025
00:02:20,51.3,6131
00:02:22,53.1,6345
00:02:23,54.0,6456
