time,downrange,horizontal_velocity,vertical_velocity,altitude
0,0.0,0.0,211.012107907,0.4
1,0.00578217956426,57.8217956426,239.10800896,0.6
2,0.00578217956426,9.229737377,263.838609661,0.6
3,0.00624366643311,0.0,282.0,0.7
4,0.00624366643311,0.0,300.019266266,0.8
5,0.00624366643311,0.0,318.3525996,0.9
6,0.00624366643311,0.0,337.036607595,1.0
7,0.00624366643311,0.0,356.333333333,1.1
8,0.00699499535721,15.0265784819,375.699616634,1.2
9,0.0077463242813,0.0,395.666584223,1.3
10,0.00855699381665,16.2133907069,415.683925551,1.4
11,0.00955261184536,3.6989698673,435.984308917,1.5
12,0.00973756033872,0.0,456.015691083,1.6
13,0.00973756033872,0.0,476.349024416,1.8
14,0.00973756033872,0.0,497.042926397,1.9
15,0.00973756033872,0.0,518.680876006,2.0
16,0.0115571876661,18.1962732735,540.693901981,2.2
17,0.0124670013298,0.0,563.320307359,2.3
18,0.0144042613214,19.3725999169,585.679692641,2.5
19,0.0163415213131,0.0,608.345274465,2.7
20,0.0163415213131,0.0,631.35830044,2.8
21,0.0163415213131,0.0,655.011941132,3.0
22,0.0163415213131,0.0,679.010986372,3.2
23,0.0163415213131,0.0,703.354461404,3.4
24,0.0163415213131,0.0,728.294971159,3.6
25,0.021565401341,52.2388002792,752.18821298,3.8
26,0.0323546050929,55.6532372392,772.999170236,4.0
27,0.0449872809039,70.6735208706,787.836438258,4.2
28,0.0626918565754,106.372235845,796.932210066,4.4
29,0.102179508475,156.878776822,800.777777778,4.7
30,0.18351364652,249.7919134,802.0,5.1
31,0.326978984121,324.069437004,802.0,5.6
32,0.395118266116,357.323382946,802.0,5.8
33,0.588735975838,417.147455943,802.0,6.3
34,0.71830958675,446.676616805,802.0,6.6
35,0.81045566458,474.784161488,802.0,6.8
36,1.06196736668,531.262646908,802.0,7.3
37,1.39649581105,583.832167665,802.0,7.9
38,1.51594129112,610.622633056,802.0,8.1
39,1.70327899401,638.295386165,802.0,8.4
40,1.89857596387,663.684412955,802.0,8.7
41,2.1014050147,688.509259197,802.0,9.0
42,2.31205678483,715.835875044,802.0,9.3
43,2.53060028202,741.120772884,802.0,9.6
44,2.75687773728,767.395595505,802.0,9.9
45,2.99096837766,793.208673679,802.0,10.2
46,3.23295013603,820.003048775,802.0,10.5
47,3.48270023831,844.997633133,802.0,10.8
48,3.82698695785,876.435964575,802.0,11.2
49,4.00590053842,912.699841131,802.0,11.4
50,4.3791562113,953.578523248,802.0,11.8
51,5.07853474999,1044.64587301,802.0,12.5
52,5.39868380285,1089.68114602,802.0,12.8
53,5.84392396954,1136.51968747,802.0,13.2
54,6.30753110211,1181.51597535,802.0,13.6
55,6.78950765756,1228.3668019,802.0,14.0
56,7.29011881427,1274.68898167,802.0,14.4
57,7.80916424018,1320.53814788,802.0,14.8
58,8.34669615544,1367.1214284,802.0,15.2
59,8.90301066718,1414.4511303,802.0,15.6
60,9.47795239554,1460.25751154,802.0,16.0
61,10.2200164419,1507.99867374,802.0,16.5
62,10.8326979022,1555.40862798,802.0,16.9
63,12.2753391649,1650.46084473,802.0,17.8
64,13.1133187052,1701.45731654,802.0,18.3
65,13.97645238,1751.07738264,802.0,18.8
66,14.8651563108,1803.73834023,802.0,19.3
67,15.7795828051,1853.96763726,802.0,19.8
68,16.9082699435,1908.32282384,802.0,20.4
69,17.8751519484,1959.20519599,802.0,20.9
70,19.066529014,2012.0516892,802.0,21.5
71,20.0859872383,2065.78120816,802.0,22.0
72,21.3415200594,2119.32819544,802.0,22.6
73,29.8085448519,2457.44196269,802.0,26.3
74,31.3006621538,2516.28237684,802.0,26.9
75,33.0826096265,2574.9961165,802.0,27.6
76,34.9063470599,2635.68226461,802.0,28.3
77,38.4107235376,2755.66616265,802.0,29.6
78,42.6409120887,2884.58523882,802.0,31.1
79,44.6822645041,2947.85023364,802.0,31.8
80,47.0670550941,3014.12624155,802.0,32.6
81,49.2001063756,3080.30599129,802.0,33.3
82,51.3790907228,3145.36357199,802.0,34.0
83,56.8444769263,3284.50254985,802.0,35.7
84,59.5008841879,3356.51560402,802.0,36.5
85,62.2148685393,3428.44527446,802.0,37.3
86,64.986775692,3501.32260724,802.0,38.1
87,68.170726831,3574.12436829,802.0,39.0
88,71.0591186117,3646.85508349,802.0,39.8
89,74.3749075858,3721.56485903,802.0,40.7
90,77.3828344213,3798.25222964,802.0,41.5
91,80.8357410205,3874.87354632,802.0,42.4
92,84.3584971506,3953.47340955,802.0,43.3
93,87.9528829971,4034.05069378,802.0,44.2
94,91.619760872,4114.56680587,802.0,45.1
95,95.7745569089,4195.0252681,802.0,46.1
96,99.5871771705,4277.46420207,802.0,47.0
97,103.906850639,4361.8827357,802.0,48.0
98,107.870966666,4447.26399037,802.0,48.9
99,112.361901176,4534.6050286,802.111111111,49.9
100,116.940610828,4622.81427699,802.777777778,50.9
101,121.608436337,4712.83673978,804.444444444,51.9
102,131.217218814,4895.9457374,806.944444444,53.9
103,136.156500273,4982.61718098,809.833333333,54.9
104,141.683925829,5067.24746671,812.666666667,56.0
105,146.791958658,5148.81818964,815.5,57.0
106,152.502182025,5233.40611414,818.333333333,58.1
107,158.303214934,5313.92644902,821.166666667,59.2
108,164.195592746,5399.48775348,824.0,60.3
109,170.181525979,5484.02721603,826.777777778,61.4
110,176.261035346,5569.62617825,829.111111111,62.5
111,181.87343405,5655.17122925,831.68165052,63.5
112,188.772178554,5842.73627868,841.333333333,64.7
113,195.237227548,5911.89825456,852.166666667,65.8
114,201.745575335,5921.46135882,862.873905036,66.9
115,208.307759883,6009.78327396,867.0,68.0
116,215.577397442,6106.27932395,870.388888889,69.2
117,222.961593968,6200.71488685,873.944444444,70.4
