time,horizontal_speed,altitude
0,6.27872690164,0.0
1,4.34775935554,0.1
2,0.0,0.1
3,0.0,0.2
4,0.0,0.2
5,0.0,0.2
6,0.0,0.3
7,10.7960898271,0.3
8,0.0,0.4
9,0.0,0.4
10,0.0,0.5
11,12.3335157538,0.6
12,0.0,0.6
13,0.0,0.7
14,0.0,0.8
15,180.778965055,0.3
16,0.0,1.0
17,0.0,1.0
18,0.0,1.2
19,14.1582592691,1.4
20,0.0,1.5
21,0.0,1.6
22,0.0,1.7
23,0.0,1.8
24,204.432573461,2.7
25,22.407700801,2.9
26,0.0,3.1
27,0.0,3.3
28,172.868642153,3.6
29,216.177013409,3.8
30,290.681526761,4.0
31,352.02379181,4.2
32,407.736127906,4.5
33,460.038857054,4.7
34,508.410021538,4.9
35,598.678336004,5.4
36,638.563818267,5.7
37,674.177832623,5.9
38,704.534420735,6.2
39,731.43403667,6.4
40,755.095192674,6.7
41,778.408472462,7.0
42,800.059841512,7.2
43,821.452220156,7.5
44,845.233547607,7.8
45,873.92433883,8.1
46,908.625748039,8.4
47,946.594290074,8.7
48,986.489102829,9.0
49,1027.05197045,9.3
50,1068.29946644,9.6
51,1109.05534127,9.9
52,1192.79870473,10.5
53,1235.80732722,10.3
54,1359.32474045,11.9
55,1403.29923751,12.3
56,1448.10522753,12.7
57,1492.63818456,13.0
58,1535.81761613,13.4
59,1579.87839722,13.8
60,1624.82268263,14.2
61,1670.65279158,14.6
62,1764.98038233,15.4
63,1811.33120936,15.8
64,1909.97401815,16.6
65,1962.24864632,17.1
66,2013.2967367,17.5
67,2066.31646899,17.3
68,2120.2454457,18.4
69,2229.79118978,19.3
70,2285.41806898,19.8
71,2341.96920347,20.2
72,2399.44675915,20.7
73,2517.18965316,21.7
74,2578.4973822,22.2
75,2639.6999356,22.7
76,2698.73465721,23.1
77,2760.78408247,23.6
78,2825.84071561,24.2
79,2890.80624567,24.7
80,2953.6282349,25.2
81,3018.43150494,25.8
82,3086.24055284,26.3
83,3151.92143779,26.8
84,3219.58394051,27.4
85,3286.15516219,27.9
86,3357.77839501,28.5
87,3429.33459289,29.1
88,3502.86964502,29.7
89,3576.34223055,30.3
90,3651.79459307,30.9
91,3726.17025242,31.5
92,3802.52807353,32.1
93,3880.86701009,32.8
94,3961.18615442,33.4
95,4043.48472855,34.1
96,4123.70170478,34.7
97,4206.91618053,35.4
98,4291.09784904,36.1
99,4375.23436515,36.8
100,4460.34121453,37.5
101,4544.31523995,38.2
102,4631.21236827,38.3
103,4718.9349434,39.6
104,4808.64465742,40.3
105,4900.26705621,41.1
106,4992.86783545,41.8
107,5085.30918947,42.6
108,5177.73230309,43.4
109,5270.14594874,44.2
110,5368.66215029,45.0
111,5463.06758867,45.8
112,5557.44956798,46.6
113,5659.90973623,47.4
114,5761.42334094,48.3
115,5860.91555124,49.1
116,5966.36659179,50.0
117,6072.55932706,50.9
118,6288.52729126,52.7
119,6399.78581663,53.6
120,6513.29650825,54.6
121,6623.87530053,55.5
122,6739.47499604,56.5
123,6856.13075203,57.4
124,7071.39609625,59.4
125,7277.54637037,61.5
126,7479.5702788,63.5
127,7584.01127535,64.5
128,7685.40713858,65.6
129,7788.8084405,66.6
130,7855.00032043,67.6
131,7867.93179073,68.7
132,7859.76728031,69.7
133,7848.59244438,70.7
134,7833.40188071,71.8
135,7817.19952203,72.8
136,7785.95143849,74.8
137,7769.78673381,75.8
138,7754.638096,76.8
139,7739.47153486,77.8
140,7736.37467953,78.7
141,7742.33194128,79.7
142,7751.29380419,80.6
143,7762.25488351,81.6
144,7773.19865203,82.5
145,7786.16470668,83.5
146,7798.13114185,84.4
147,7810.11485171,85.4
148,7823.10964742,86.3
149,7835.11055233,87.2
150,7848.1339842,88.1
151,7861.18600671,89.0
152,7875.27752108,89.9
153,7888.38628759,90.8
154,7902.50562859,91.7
155,7915.60791673,92.6
156,7929.70370751,93.5
157,7943.79348751,94.4
158,7972.96594731,96.1
159,7988.08242336,97.0
160,8003.21529137,97.9
161,8063.58006126,101.0
162,8078.699572,102.0
163,8094.81249278,103.0
164,8110.92495277,104.0
165,8145.15278487,105.0
166,8162.31809224,106.0
