time,altitude,speed
00:00:08,0.0,71
00:00:09,0.1,85
00:00:10,0.1,99
00:00:11,0.2,113
00:00:12,0.2,128
00:00:13,0.2,143
00:00:14,0.3,159
00:00:15,0.3,175
00:00:16,0.4,190
00:00:17,0.4,206
00:00:18,0.5,222
00:00:19,0.6,239
00:00:20,0.6,255
00:00:21,0.7,272
00:00:22,0.8,289
00:00:23,0.3,367
00:00:24,1.0,325
00:00:25,1.0,344
00:00:27,1.2,381
00:00:28,1.4,401
00:00:29,1.5,420
00:00:30,1.6,440
00:00:31,1.7,460
00:00:32,1.8,480
00:00:38,2.7,609
00:00:39,2.9,632
00:00:40,3.1,654
00:00:41,3.3,677
00:00:43,3.6,726
00:00:44,3.8,751
00:00:45,4.0,776
00:00:46,4.2,801
00:00:47,4.5,827
00:00:48,4.7,854
00:00:49,4.9,881
00:00:51,5.4,936
00:00:52,5.7,962
00:00:53,5.9,986
00:00:54,6.2,1007
00:00:55,6.4,1026
00:00:56,6.7,1043
00:00:57,7.0,1060
00:00:58,7.2,1076
00:00:59,7.5,1092
00:01:00,7.8,1110
00:01:01,8.1,1132
00:01:02,8.4,1159
00:01:03,8.7,1189
00:01:04,9.0,1221
00:01:05,9.3,1254
00:01:06,9.6,1288
00:01:07,9.9,1322
00:01:09,10.5,1393
00:01:10,10.3,1430
00:01:13,11.9,1538
00:01:14,12.3,1577
00:01:15,12.7,1617
00:01:16,13.0,1657
00:01:17,13.4,1696
00:01:18,13.8,1736
00:01:19,14.2,1777
00:01:20,14.6,1819
00:01:22,15.4,1906
00:01:23,15.8,1949
00:01:25,16.6,2041
00:01:26,17.1,2090
00:01:27,17.5,2138
00:01:28,17.3,2188
00:01:29,18.4,2239
00:01:31,19.3,2343
00:01:32,19.8,2396
00:01:33,20.2,2450
00:01:34,20.7,2505
00:01:36,21.7,2618
00:01:37,22.2,2677
00:01:38,22.7,2736
00:01:39,23.1,2793
00:01:40,23.6,2853
00:01:41,24.2,2916
00:01:42,24.7,2979
00:01:43,25.2,3040
00:01:44,25.8,3103
00:01:45,26.3,3169
00:01:46,26.8,3233
00:01:47,27.4,3299
00:01:48,27.9,3364
00:01:49,28.5,3434
00:01:50,29.1,3504
00:01:51,29.7,3576
00:01:52,30.3,3648
00:01:53,30.9,3722
00:01:54,31.5,3795
00:01:55,32.1,3870
00:01:56,32.8,3947
00:01:57,33.4,4026
00:01:58,34.1,4107
00:01:59,34.7,4186
00:02:00,35.4,4268
00:02:01,36.1,4351
00:02:02,36.8,4434
00:02:03,37.5,4518
00:02:04,38.2,4601
00:02:05,38.3,4687
00:02:06,39.6,4774
00:02:07,40.3,4863
00:02:08,41.1,4954
00:02:09,41.8,5046
00:02:10,42.6,5138
00:02:11,43.4,5230
00:02:12,44.2,5322
00:02:13,45.0,5420
00:02:14,45.8,5514
00:02:15,46.6,5608
00:02:16,47.4,5710
00:02:17,48.3,5811
00:02:18,49.1,5910
00:02:19,50.0,6015
00:02:20,50.9,6121
00:02:22,52.7,6336
00:02:23,53.6,6447
00:02:24,54.6,6560
00:02:25,55.5,6670
00:02:26,56.5,6785
00:02:27,57.4,6901
00:02:29,59.4,7115
00:02:31,61.5,7320
00:02:33,63.5,7521
00:02:34,64.5,7625
00:02:35,65.6,7726
00:02:36,66.6,7829
00:02:37,67.6,7895
00:02:38,68.7,7908
00:02:39,69.7,7900
00:02:40,70.7,7889
00:02:41,71.8,7874
00:02:42,72.8,7858
00:02:44,74.8,7827
00:02:45,75.8,7811
00:02:46,76.8,7796
00:02:47,77.8,7781
00:02:48,78.7,7778
00:02:49,79.7,7784
00:02:50,80.6,7793
00:02:51,81.6,7804
00:02:52,82.5,7815
00:02:53,83.5,7828
00:02:54,84.4,7840
00:02:55,85.4,7852
00:02:56,86.3,7865
00:02:57,87.2,7877
00:02:58,88.1,7890
00:02:59,89.0,7903
00:03:00,89.9,7917
00:03:01,90.8,7930
00:03:02,91.7,7944
00:03:03,92.6,7957
00:03:04,93.5,7971
00:03:05,94.4,7985
00:03:07,96.1,8014
00:03:08,97.0,8029
00:03:09,97.9,8044
00:03:13,101,8104
00:03:14,102,8119
00:03:15,103,8135
00:03:16,104,8151
00:03:18,105,8185
00:03:19,106,8202
00:03:20,107,8220
00:03:21,108,8236
00:03:22,109,8253
00:03:23,109,8271
00:03:25,111,8307
00:03:27,113,8344
00:03:28,113,8362
00:03:31,116,8418
00:03:32,116,8436
00:03:33,117,8456
00:03:34,118,8475
00:03:37,120,8533
00:03:38,121,8553
00:03:41,123,8613
00:03:42,124,8633
00:03:43,124,8653
00:03:44,125,8674
00:03:45,126,8695
00:03:46,127,8716
00:03:47,127,8737
00:03:48,128,8758
00:03:49,129,8779
00:03:54,132,8887
00:03:55,133,8907
00:04:00,136,9021
00:04:01,137,9044
00:04:02,137,9067
00:04:04,139,9113
00:04:05,139,9137
00:04:06,140,9160
00:04:07,140,9185
00:04:08,141,9210
00:04:09,142,9234
00:04:11,143,9282
00:04:12,144,9307
00:04:13,144,9332
00:04:14,145,9357
00:04:15,145,9380
00:04:16,146,9405
00:04:17,146,9430
00:04:18,147,9456
00:04:19,148,9482
00:04:21,149,9533
00:04:22,149,9559
00:04:23,150,9585
00:04:25,151,9638
00:04:26,152,9665
00:04:27,152,9691
00:04:28,153,9719
00:04:29,153,9745
00:04:30,154,9772
00:04:35,157,9910
00:04:36,157,9938
00:04:37,158,9967
00:04:38,158,9996
00:04:39,159,10024
00:04:40,159,10053
00:04:41,160,10082
00:04:42,160,10112
00:04:43,161,10140
00:04:44,161,10169
00:04:45,162,10198
00:04:46,162,10228
00:04:47,163,10253
00:04:48,163,10289
00:04:49,164,10319
00:04:50,164,10350
00:04:51,165,10381
00:04:52,165,10413
00:04:53,166,10444
00:04:54,166,10475
00:04:55,167,10506
00:04:56,167,10537
00:04:57,167,10569
00:04:58,168,10601
00:04:59,168,10634
00:05:00,169,10665
00:05:01,169,10698
00:05:02,170,10730
00:05:03,170,10763
00:05:04,171,10796
00:05:05,171,10829
00:05:06,172,10862
00:05:07,172,10895
00:05:08,172,10927
00:05:09,173,10961
00:05:10,173,10994
00:05:11,174,11030
00:05:12,174,11064
00:05:13,175,11100
00:05:14,175,11135
00:05:15,175,11171
00:05:16,176,11205
00:05:17,176,11241
00:05:18,177,11277
00:05:19,177,11313
00:05:20,177,11349
00:05:21,178,11384
00:05:22,178,11420
00:05:23,179,11455
00:05:24,179,11492
00:05:25,179,11523
00:05:26,180,11566
00:05:27,180,11605
00:05:28,181,11642
00:05:29,181,11673
00:05:30,181,11717
00:05:31,182,11755
00:05:32,182,11793
00:05:33,182,11831
00:05:34,183,11870
00:05:35,183,11908
00:05:36,184,11947
00:05:37,184,11985
00:05:38,184,12025
00:05:39,185,12064
00:05:40,185,12103
00:05:41,185,12142
00:05:42,186,12184
00:05:43,186,12225
00:05:44,186,12266
00:05:45,187,12307
00:05:46,187,12348
00:05:47,187,12390
00:05:48,188,12432
00:05:49,188,12474
00:05:50,188,12516
00:05:51,189,12558
00:05:52,189,12600
00:05:53,189,12641
00:05:54,190,12683
00:05:55,190,12724
00:05:56,190,12769
00:05:57,191,12813
00:05:58,191,12858
00:05:59,191,12902
00:06:00,191,12946
00:06:01,192,12990
00:06:02,192,13034
00:06:03,192,13078
00:06:04,193,13124
00:06:05,193,13171
00:06:06,193,13217
00:06:07,194,13263
00:06:08,194,13309
00:06:09,194,13353
00:06:10,194,13399
00:06:11,195,13443
00:06:12,195,13492
00:06:13,195,13539
00:06:14,195,13587
00:06:15,196,13635
00:06:16,196,13681
00:06:17,196,13731
00:06:18,197,13780
00:06:19,197,13823
00:06:20,197,13878
00:06:21,197,13927
00:06:22,198,13978
00:06:23,198,14030
00:06:24,198,14080
00:06:25,198,14131
00:06:26,199,14181
00:06:27,199,14234
00:06:28,199,14285
00:06:29,199,14337
00:06:30,200,14389
00:06:31,200,14440
00:06:32,200,14493
00:06:33,200,14547
00:06:34,200,14600
00:06:35,201,14652
00:06:36,201,14706
00:06:37,201,14760
00:06:38,201,14814
00:06:39,202,14868
00:06:40,202,14923
00:06:41,202,14979
00:06:42,202,15032
00:06:43,202,15088
00:06:44,203,15147
00:06:45,203,15204
00:06:46,203,15260
00:06:47,203,15318
00:06:48,203,15375
00:06:49,204,15432
00:06:50,204,15491
00:06:51,204,15543
00:06:52,204,15607
00:06:53,204,15666
00:06:54,205,15724
00:06:55,205,15785
00:06:56,205,15847
00:06:57,205,15907
00:06:58,205,15967
00:06:59,206,16627
00:07:00,206,16088
00:07:01,206,16150
00:07:02,206,16212
00:07:03,206,16275
00:07:04,206,16338
00:07:05,207,16400
00:07:06,207,16463
00:07:07,207,16528
00:07:08,207,16595
00:07:09,207,16660
00:07:10,207,16726
00:07:11,208,16792
00:07:12,208,16858
00:07:13,208,16923
00:07:14,208,16991
00:07:15,208,17058
00:07:16,208,17128
00:07:17,208,17194
00:07:18,209,17267
00:07:19,209,17337
00:07:20,209,17400
00:07:21,209,17467
00:07:22,209,17540
00:07:23,209,17612
00:07:24,209,17684
00:07:25,210,17756
00:07:26,210,17828
00:07:27,210,17901
00:07:28,210,17974
00:07:29,210,18047
00:07:30,210,18121
00:07:31,210,18202
00:07:32,211,18280
00:07:34,211,18433
00:07:35,211,18510
00:07:38,211,18741
00:07:41,212,18959
00:07:42,212,19031
00:07:43,212,19101
00:07:44,212,19174
00:07:46,212,19319
00:07:48,212,19467
00:07:50,213,19617
00:07:51,213,19694
00:07:52,213,19763
00:07:53,213,19844
00:07:54,213,19921
00:07:55,213,19998
00:07:56,213,20077
00:07:57,213,20157
00:07:58,213,20236
00:07:59,213,20316
00:08:00,213,20395
00:08:01,214,20475
00:08:02,214,20555
00:08:03,214,20635
00:08:04,214,20717
00:08:05,214,20799
00:08:06,214,20883
00:08:07,214,20967
00:08:08,214,21050
00:08:09,214,21134
00:08:10,214,21219
00:08:11,214,21309
00:08:12,214,21397
00:08:13,214,21484
00:08:14,214,21569
00:08:15,215,21656
00:08:16,215,21745
00:08:17,215,21831
00:08:18,215,21920
00:08:19,215,22016
00:08:20,215,22111
00:08:21,215,22205
00:08:22,215,22298
00:08:23,215,22388
00:08:24,215,22485
00:08:25,215,22582
00:08:26,215,22682
00:08:27,215,22780
00:08:28,215,22878
00:08:29,215,22977
00:08:30,215,23077
00:08:31,215,23176
00:08:32,215,23278
00:08:33,216,23383
00:08:34,216,23486
00:08:35,216,23590
00:08:36,216,23695
00:08:37,216,23801
00:08:38,216,23908
00:08:39,216,24016
00:08:40,216,24124
00:08:41,216,24232
00:08:42,216,24340
00:08:43,216,24458
00:08:44,216,24573
00:08:45,216,24687
00:08:46,216,24803
00:08:47,216,24916
00:08:48,216,25033
00:08:49,216,25149
00:08:50,216,25263
00:08:51,216,25390
00:08:52,216,25515
00:08:53,216,25638
00:08:54,216,25757
00:08:55,216,25884
00:08:56,216,26007
00:08:57,216,26135
00:08:58,216,26263
00:08:59,216,26398
00:09:00,216,26530
00:09:01,216,26663
00:09:02,216,26798
00:09:03,216,26934
00:09:04,216,27066
00:09:05,216,27123
00:09:06,216,27141
00:09:07,216,27146
00:09:08,216,27147
00:09:09,216,27148
00:09:10,216,27148
00:09:11,216,27148
00:09:12,216,27148
00:09:13,216,27148
00:09:14,216,27148
00:09:15,216,27148
00:09:16,216,27148
00:09:17,216,27148
00:09:18,216,27148
00:09:19,216,27148
00:09:20,216,27148
00:09:21,216,27148
00:09:22,216,27148
00:09:23,216,27148
00:09:24,216,27148
00:09:25,216,27148
00:09:26,216,27148
00:09:27,216,27148
00:09:28,216,27147
00:09:29,216,27147
00:09:30,216,27147
00:09:31,216,27147
00:09:32,216,27147
00:09:33,216,27147
00:09:34,216,27147
00:09:35,216,27147
00:09:36,216,27147
00:09:37,216,27147
00:09:38,216,27147
00:09:39,216,27147
00:09:40,216,27147
00:09:41,216,27147
00:09:42,216,27147
00:09:43,216,27147
00:09:44,216,27147
00:09:45,216,27147
00:09:46,216,27147
00:09:47,216,27147
00:09:48,216,27147
00:09:49,216,27147
00:09:50,216,27147
00:09:51,216,27147
00:09:52,216,27147
00:09:53,216,27146
00:09:54,216,27146
00:09:55,216,27146
00:09:56,216,27146
00:09:57,216,27146
00:09:58,216,27146
00:09:59,216,27146
00:10:00,216,27146
00:10:01,216,27146
00:10:02,216,27146
00:10:03,216,27146
00:10:04,216,27146
00:10:05,216,27146
00:10:06,216,27146
00:10:07,217,27146
00:10:08,217,27146
00:10:09,217,27146
00:10:10,217,27146
00:10:11,217,27145
00:10:12,217,27145
00:10:13,217,27145
00:10:14,217,27145
00:10:15,217,27145
00:10:16,217,27145
00:10:17,217,27145
00:10:18,217,27145
00:10:19,217,27145
00:10:20,217,27145
00:10:21,217,27145
00:10:22,217,27145
00:10:23,217,27145
00:10:24,217,27145
00:10:25,217,27145
00:10:26,217,27145
00:10:27,217,27145
00:10:28,217,27144
00:10:29,217,27144
00:10:30,217,27144
00:10:31,217,27144
00:10:32,217,27144
00:10:33,217,27144
00:10:34,217,27144
00:10:35,217,27144
00:10:36,217,27144
00:10:37,217,27144
