time,verical_speed,altitude
0,70.7218324741,0.0
1,84.8887329896,0.1
2,99.0192761348,0.1
3,113.352609468,0.2
4,128.036146095,0.2
5,143.350203293,0.2
6,159.0,0.3
7,174.666666667,0.3
8,190.333333333,0.4
9,206.031757648,0.4
10,222.333333333,0.5
11,238.681554355,0.6
12,255.333333333,0.6
13,272.120077301,0.7
14,295.350195267,0.8
15,319.386859144,0.3
16,345.177114449,1.0
17,364.015418666,1.0
18,382.968094631,1.2
19,400.749976537,1.4
20,420.333333333,1.5
21,440.010660159,1.6
22,460.067570118,1.7
23,516.336876855,1.8
24,573.662202788,2.7
25,631.602640071,2.9
26,654.404930406,3.1
27,683.293410565,3.3
28,705.118736498,3.6
29,719.213806092,3.8
30,719.5,4.0
31,719.5,4.2
32,719.5,4.5
33,719.5,4.7
34,719.5,4.9
35,719.5,5.4
36,719.5,5.7
37,719.5,5.9
38,719.5,6.2
39,719.5,6.4
40,719.5,6.7
41,719.5,7.0
42,719.5,7.2
43,719.5,7.5
44,719.5,7.8
45,719.5,8.1
46,719.5,8.4
47,719.5,8.7
48,719.5,9.0
49,719.5,9.3
50,719.5,9.6
51,719.5,9.9
52,719.5,10.5
53,719.5,10.3
54,719.5,11.9
55,719.5,12.3
56,719.5,12.7
57,719.5,13.0
58,719.5,13.4
59,719.5,13.8
60,719.5,14.2
61,719.5,14.6
62,719.5,15.4
63,719.5,15.8
64,719.5,16.6
65,719.5,17.1
66,719.5,17.5
67,719.5,17.3
68,719.5,18.4
69,719.5,19.3
70,719.5,19.8
71,719.5,20.2
72,719.5,20.7
73,719.5,21.7
74,719.5,22.2
75,719.5,22.7
76,719.5,23.1
77,719.5,23.6
78,719.5,24.2
79,719.5,24.7
80,719.5,25.2
81,719.5,25.8
82,719.5,26.3
83,719.5,26.8
84,719.5,27.4
85,719.5,27.9
86,719.5,28.5
87,719.5,29.1
88,719.5,29.7
89,719.5,30.3
90,719.5,30.9
91,719.5,31.5
92,719.5,32.1
93,719.5,32.8
94,719.5,33.4
95,719.5,34.1
96,719.5,34.7
97,719.5,35.4
98,719.5,36.1
99,719.5,36.8
100,719.5,37.5
101,720.0,38.2
102,721.0,38.3
103,723.0,39.6
104,725.055555556,40.3
105,727.666666667,41.1
106,730.333333333,41.8
107,733.944444444,42.6
108,737.555555556,43.4
109,741.111111111,44.2
110,744.222222222,45.0
111,747.722222222,45.8
112,751.277777778,46.6
113,754.666666667,47.4
114,757.444444444,48.3
115,760.111111111,49.1
116,763.34441267,50.0
117,768.546823091,50.9
118,774.157934202,52.7
119,778.813521532,53.6
120,781.388888889,54.6
121,783.055555556,55.5
122,784.666666667,56.5
123,785.666666667,57.4
124,786.5,59.4
125,787.222222222,61.5
126,788.333333333,63.5
127,789.555555556,64.5
128,790.944444444,65.6
129,792.277777778,66.6
130,793.722222222,67.6
131,795.055555556,68.7
132,796.277777778,69.7
133,797.444444444,70.7
134,798.555555556,71.8
135,799.722222222,72.8
136,800.555555556,74.8
137,801.333333333,75.8
138,802.0,76.8
139,802.833333333,77.8
140,803.611111111,78.7
141,804.333333333,79.7
142,805.166666667,80.6
143,806.111111111,81.6
144,807.222222222,82.5
145,808.222222222,83.5
146,809.166666667,84.4
147,809.944444444,85.4
148,810.666666667,86.3
149,811.277777778,87.2
150,811.722222222,88.1
151,811.888888889,89.0
152,811.722222222,89.9
153,811.333333333,90.8
154,810.888888889,91.7
155,810.555555556,92.6
156,810.333333333,93.5
157,810.166666667,94.4
158,809.944444444,96.1
159,809.555555556,97.0
160,809.0,97.9
161,808.388888889,101.0
162,807.944444444,102.0
163,807.611111111,103.0
164,807.277777778,104.0
165,806.666666667,105.0
166,805.833333333,106.0
167,804.888888889,107.0
168,804.111111111,108.0
169,803.388888889,109.0
170,802.666666667,109.0
171,801.666666667,111.0
172,800.444444444,113.0
173,799.0,113.0
174,797.722222222,116.0
175,796.888888889,116.0
176,796.333333333,117.0
177,795.777777778,118.0
178,795.0,120.0
179,794.333333333,121.0
180,793.611111111,123.0
181,792.833333333,124.0
182,791.833333333,124.0
183,790.833333333,125.0
184,789.777777778,126.0
185,788.611111111,127.0
186,787.388888889,127.0
187,786.111111111,128.0
188,784.833333333,129.0
189,783.5,132.0
