time,downrange,altitude
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.004487637339278751,0.2
6,0.004487637339278751,0.2
7,0.004487637339278751,0.2
8,0.004487637339278751,0.3
9,0.004487637339278751,0.3
10,0.0064460338049768156,0.4
11,0.0064460338049768156,0.4
12,0.0070455620882216114,0.5
13,0.007645090371466407,0.6
14,0.007645090371466407,0.6
15,0.007645090371466407,0.7
16,0.008301059256466785,0.8
17,0.00895702814146716,0.9
18,0.00895702814146716,1.0
19,0.00895702814146716,1.3
20,0.02504682502104532,1.6
21,0.030410090647571365,1.7
22,0.07407108847629229,2.3
23,0.08862475441919927,2.5
24,0.10285685049099387,2.8
25,0.11336054864941726,3.0
26,0.11386836570469742,3.1
27,0.11386836570469742,3.3
28,0.11749892564352403,3.5
29,0.13045589906433575,3.7
30,0.157652037384998,3.9
31,0.25894543431192685,4.3
32,0.3659914614360364,4.6
33,0.5398131576684188,5.0
34,0.9597608816631714,5.8
35,1.0753710191059154,6.0
36,1.255794251610531,6.3
37,1.3806444341008481,6.5
38,1.7117689074708256,7.0
39,1.9238041792220815,7.3
40,2.1470145462030272,7.6
41,2.303921656497203,7.8
42,2.5517506716031564,8.1
43,2.8123633059431388,8.4
44,3.0858901744814156,8.7
45,3.3722794096064823,9.0
46,3.6713183396713003,9.3
47,3.9828145934637957,9.6
48,4.41477411398873,10.0
49,4.751242817017279,10.3
50,5.10042609379239,10.6
51,6.306898401040962,11.6
52,5.9321476652240515,11.3
53,6.448513927942039,11.7
54,6.848209211108574,12.0
55,7.39848531791363,12.4
56,7.824451782921528,12.7
57,8.409967997599031,13.1
58,9.634983474831781,13.9
59,10.274776449229682,14.3
60,10.933274723866814,14.7
61,11.610827475224017,15.1
62,12.30734709624895,15.5
63,13.759311225956662,16.3
64,14.704014055056987,16.8
65,16.276811464421336,17.6
66,20.103538409018704,19.4
67,21.234515979569775,19.9
68,22.39388619340439,20.4
69,23.582632116886934,20.9
70,24.801212370807278,21.4
71,26.049564576614795,21.9
72,28.636888940430097,22.9
73,31.62006900083206,24.0
74,33.02398605125028,24.5
75,34.45943636273329,25.0
76,36.21976335787877,25.6
77,39.55527281095667,26.7
78,43.0389907731911,27.8
79,45.0014204040539,28.4
80,47.00721023001853,29.0
81,49.0575444592713,29.6
82,51.50151864742731,30.3
83,53.640506647051346,30.9
84,58.053832479966424,32.1
85,60.70859060332313,32.8
86,63.03085743503627,33.4
87,65.79539503045312,34.1
88,68.21230321157753,34.7
89,71.08789327491078,35.4
90,74.0218009844287,36.1
91,77.0150572136849,36.8
92,80.06798204807765,37.5
93,83.62641074630298,38.3
94,86.80070401913147,39.0
95,90.03598922436234,39.7
96,100.59261925495973,41.9
97,104.57546901102704,42.7
98,108.63312804701135,43.5
99,116.97961071391356,45.1
100,121.27159317611986,45.9
101,130.6440819799186,47.6
102,135.17515968953867,48.4
103,105.76395025389458,43.3
104,146.27980746960367,50.2
105,151.6625100539239,51.1
106,157.14322613550874,52.0
107,168.40411699233886,53.8
108,174.18840287726633,54.7
109,180.73243031123738,55.7
110,187.39449437175065,56.7
111,193.49611743352602,57.6
112,200.38766329084535,58.6
113,214.48612893804892,60.6
114,221.69296902651735,61.6
115,236.42867398303747,63.6
116,244.71259922466803,64.7
117,252.3546732816047,65.7
118,260.8701396429593,66.8
119,268.6680924418062,67.8
120,277.25730703223616,68.9
121,285.05802831604285,69.9
122,301.3970707867765,72.0
123,309.1548251979537,73.0
124,316.8963706782051,74.0
125,325.08574997795245,75.06
126,332.3332475276358,76.0
127,339.257721138199,76.9
128,346.9398601331716,77.9
129,354.6208562555678,78.9
130,361.5399980865211,79.8
131,369.2374304169954,80.8
132,376.94589134237845,81.8
133,383.89434204662075,82.7
134,390.8536206339942,83.6
135,397.82371914077606,84.5
136,405.5802892602002,85.5
137,412.5724615052333,86.4
138,419.5763348226004,87.3
139,427.3719056269735,88.3
140,434.4000544954342,89.2
141,441.439891246787,90.1
142,448.49187610151984,91.0
143,455.55646404993416,91.9
144,469.72260380709827,93.7
145,476.0350965049148,94.5
146,483.1497189342022,95.4
147,490.2774197720551,96.3
148,496.6243745578285,97.1
149,503.77776394580206,98.0
150,510.1483455927164,98.8
151,527.7181995320769,101.0
152,551.8156871105988,104.0
153,559.8878522051771,105.0
154,567.9775767141157,106.0
155,567.9775767141157,106.0
156,576.1019504571948,107.0
157,584.2444134089978,108.0
158,592.4049735808024,109.0
159,600.5926925710428,110.0
160,608.8075919212861,111.0
161,625.2917759622719,113.0
162,633.5615704369288,114.0
163,633.5615704369288,114.0
164,641.8682768474799,115.0
165,650.1937965238945,116.0
166,658.5391836942825,117.0
167,658.5391836942825,117.0
168,666.9236860178027,118.0
169,675.3278938678768,119.0
170,683.7517714573609,120.0
171,683.7517714573609,120.0
172,709.2034987059594,123.0
173,709.2034987059594,123.0
174,717.748572139963,124.0
175,726.314421825966,125.0
176,726.314421825966,125.0
177,734.92234898537,126.0
178,743.5520664858341,127.0
179,752.2140776880001,128.0
180,760.9083553395798,129.0
181,769.6243467172088,130.0
182,769.6243467172088,130.0
183,787.1644140297237,132.0
184,795.9788293941531,133.0
185,822.6244779660358,136.0
186,831.574809318685,137.0
187,840.5604496321911,138.0
188,849.5939431459351,139.0
189,858.6752894444188,140.0
190,867.780893249839,141.0
191,867.780893249839,141.0
192,886.1382565249481,143.0
193,895.3662733295868,144.0
194,895.3662733295868,144.0
195,904.6444176217208,145.0
196,913.9469661794916,146.0
197,913.9469661794916,146.0
198,923.2998369016469,147.0
199,923.2998369016469,147.0
200,932.7048455514185,148.0
201,942.1362054164955,149.0
202,951.6075346608827,150.0
203,951.6075346608827,150.0
204,961.1452877318633,151.0
205,970.7234485033202,152.0
206,980.3425057403002,153.0
207,980.3425057403002,153.0
208,990.0163824733198,154.0
209,990.0163824733198,154.0
210,999.7459783224422,155.0
211,999.7459783224422,155.0
212,1009.530741830238,156.0
213,1009.530741830238,156.0
214,1019.3864179209032,157.0
215,1029.2851222037555,158.0
216,1039.2273147649212,159.0
217,1049.2129141234811,160.0
218,1049.2129141234811,160.0
219,1059.2581792260426,161.0
220,1059.2581792260426,161.0
221,1069.363660234702,162.0
222,1069.363660234702,162.0
223,1079.5294385766258,163.0
224,1079.5294385766258,163.0
225,1089.7558606244797,164.0
226,1089.7558606244797,164.0
227,1100.043848210779,165.0
228,1100.043848210779,165.0
229,1110.395434400716,166.0
230,1110.395434400716,166.0
231,1120.8100336657626,167.0
232,1120.8100336657626,167.0
233,1120.8100336657626,167.0
234,1131.3198875378907,168.0
235,1131.3198875378907,168.0
236,1141.8937352871872,169.0
237,1141.8937352871872,169.0
238,1152.5326116606504,170.0
239,1152.5326116606504,170.0
240,1163.2369326696064,171.0
241,1163.2369326696064,171.0
242,1174.0082663851624,172.0
243,1174.0082663851624,172.0
244,1174.0082663851624,172.0
245,1184.8833978332116,173.0
246,1184.8833978332116,173.0
247,1195.8270252106329,174.0
248,1195.8270252106329,174.0
249,1206.8395620249858,175.0
250,1206.8395620249858,175.0
251,1206.8395620249858,175.0
252,1217.9596973921975,176.0
253,1217.9596973921975,176.0
254,1229.150473169907,177.0
255,1229.150473169907,177.0
256,1240.4115500148414,178.0
257,1240.4115500148414,178.0
258,1240.4115500148414,178.0
259,1251.7822817834062,179.0
260,1251.7822817834062,179.0
261,1263.2264682436505,180.0
262,1263.2264682436505,180.0
263,1263.2264682436505,180.0
264,1274.782249610491,181.0
265,1274.782249610491,181.0
266,1274.782249610491,181.0
267,1286.4519258539924,182.0
268,1286.4519258539924,182.0
269,1298.1999056280295,183.0
270,1298.1999056280295,183.0
271,1298.1999056280295,183.0
272,1310.0649694388844,184.0
273,1310.0649694388844,184.0
274,1310.0649694388844,184.0
275,1322.049023914942,185.0
276,1322.049023914942,185.0
277,1322.049023914942,185.0
278,1334.1539973080671,186.0
279,1334.1539973080671,186.0
280,1346.3407601219626,187.0
281,1346.3407601219626,187.0
282,1346.3407601219626,187.0
283,1358.650470944628,188.0
284,1358.650470944628,188.0
285,1358.650470944628,188.0
286,1371.0859768782382,189.0
287,1371.0859768782382,189.0
288,1371.0859768782382,189.0
289,1371.0859768782382,189.0
290,1383.6904863259322,190.0
291,1383.6904863259322,190.0
292,1383.6904863259322,190.0
293,1396.4248061080148,191.0
294,1396.4248061080148,191.0
295,1396.4248061080148,191.0
296,1409.2933809663057,192.0
297,1409.2933809663057,192.0
298,1409.2933809663057,192.0
