time,vertical_speed,altitude
0,0.5737054723178454,0.0
1,8.521164233365457,0.0
2,25.13893657816107,0.0
3,45.18671114686579,0.0
4,75.5066612336845,0.0
5,99.33333333333334,0.2
6,122.8635534182043,0.2
7,137.48886936262258,0.2
8,156.3564086017983,0.3
9,175.6868615271402,0.3
10,195.23888933555463,0.4
11,211.35352819380682,0.4
12,227.68448856923877,0.5
13,244.33333333333337,0.6
14,261.0336657484931,0.6
15,278.3333333333333,0.7
16,295.7091170876619,0.8
17,314.139187717353,0.9
18,345.16080038039024,1.0
19,390.34456024393495,1.3
20,435.99902835640546,1.6
21,489.89593664706297,1.7
22,531.4321036239972,2.3
23,580.5758008510451,2.5
24,610.6731237432714,2.8
25,640.9195337445619,3.0
26,664.3502052681702,3.1
27,688.3333625910141,3.3
28,712.0750686922403,3.5
29,730.0669840201683,3.7
30,740.7504933639912,3.9
31,744.0000000000001,4.3
32,745.0000000000001,4.6
33,745.0000000000001,5.0
34,745.0000000000001,5.8
35,745.0000000000001,6.0
36,745.0000000000001,6.3
37,745.0000000000001,6.5
38,745.0000000000001,7.0
39,745.0000000000001,7.3
40,745.0000000000001,7.6
41,745.0000000000001,7.8
42,745.0000000000001,8.1
43,745.0000000000001,8.4
44,745.0000000000001,8.7
45,745.0000000000001,9.0
46,745.0000000000001,9.3
47,745.0000000000001,9.6
48,745.0000000000001,10.0
49,745.0000000000001,10.3
50,745.0000000000001,10.6
51,745.0000000000001,11.6
52,745.0000000000001,11.3
53,745.0000000000001,11.7
54,745.0000000000001,12.0
55,745.0000000000001,12.4
56,745.0000000000001,12.7
57,745.0000000000001,13.1
58,745.0000000000001,13.9
59,745.0000000000001,14.3
60,745.0000000000001,14.7
61,745.0000000000001,15.1
62,745.0000000000001,15.5
63,745.0000000000001,16.3
64,745.0000000000001,16.8
65,745.0000000000001,17.6
66,745.0000000000001,19.4
67,745.0000000000001,19.9
68,745.0000000000001,20.4
69,745.0000000000001,20.9
70,745.0000000000001,21.4
71,745.0000000000001,21.9
72,745.0000000000001,22.9
73,745.0000000000001,24.0
74,745.0000000000001,24.5
75,745.0000000000001,25.0
76,745.0000000000001,25.6
77,745.0000000000001,26.7
78,745.0000000000001,27.8
79,745.0000000000001,28.4
80,745.0000000000001,29.0
81,745.0000000000001,29.6
82,745.0000000000001,30.3
83,745.0000000000001,30.9
84,745.0000000000001,32.1
85,745.0000000000001,32.8
86,745.0000000000001,33.4
87,745.0000000000001,34.1
88,745.0000000000001,34.7
89,745.0000000000001,35.4
90,745.0000000000001,36.1
91,745.0000000000001,36.8
92,745.0000000000001,37.5
93,745.0000000000001,38.3
94,745.0000000000001,39.0
95,745.0000000000001,39.7
96,745.0000000000001,41.9
97,745.0000000000001,42.7
98,745.0000000000001,43.5
99,745.0000000000001,45.1
100,745.5555555555557,45.9
101,746.6666666666667,47.6
102,748.8888888888889,48.4
103,751.5555555555557,43.3
104,755.2222222222223,50.2
105,758.7777777777778,51.1
106,762.388888888889,52.0
107,764.9444444444446,53.8
108,767.5,54.7
109,769.5,55.7
110,771.9444444444446,56.7
111,773.8888888888891,57.6
112,776.3333333333335,58.6
113,778.8888888888891,60.6
114,782.4444444444446,61.6
115,786.4444444444446,63.6
116,790.3888888888891,64.7
117,793.5000000000002,65.7
118,795.5555555555558,66.8
119,796.9444444444446,67.8
120,798.1111111111113,68.9
121,799.2222222222224,69.9
122,800.4444444444446,72.0
123,801.6111111111113,73.0
124,802.8333333333335,74.0
125,804.1666666666667,75.06
126,805.5555555555557,76.0
127,807.1666666666667,76.9
128,808.5555555555557,77.9
129,809.7777777777778,78.9
130,810.4444444444446,79.8
131,810.8333333333334,80.8
132,811.0555555555557,81.8
133,811.3333333333335,82.7
134,811.7222222222224,83.6
135,812.1666666666667,84.5
136,812.6666666666667,85.5
137,813.2777777777778,86.4
138,814.0000000000001,87.3
139,814.8888888888891,88.3
140,815.7222222222224,89.2
141,816.5,90.1
142,817.1666666666669,91.0
143,817.8888888888889,91.9
144,818.6111111111112,93.7
145,819.2777777777778,94.5
146,819.7222222222224,95.4
147,820.1666666666667,96.3
148,820.6666666666667,97.1
149,821.3333333333334,98.0
150,821.8888888888891,98.8
151,822.3333333333335,101.0
152,822.7222222222224,104.0
153,823.0555555555557,105.0
154,823.3333333333335,106.0
155,823.4444444444446,106.0
156,823.5000000000002,107.0
157,823.5000000000002,108.0
158,823.3888888888889,109.0
159,823.0555555555557,110.0
160,822.5,111.0
161,821.8888888888891,113.0
162,821.1666666666669,114.0
163,820.1666666666667,114.0
164,818.1666666666667,115.0
165,815.6111111111112,116.0
166,812.5555555555557,117.0
167,810.388888888889,117.0
168,808.8333333333335,118.0
169,808.0000000000001,119.0
170,807.1666666666667,120.0
171,805.7222222222223,120.0
172,803.9444444444446,123.0
173,801.5555555555557,123.0
174,799.7222222222223,124.0
175,797.5555555555557,125.0
176,795.5555555555557,125.0
177,793.1111111111112,126.0
178,791.2222222222224,127.0
179,789.6111111111113,128.0
180,788.2777777777779,129.0
181,786.8333333333335,130.0
182,785.0000000000001,130.0
183,782.8333333333335,132.0
184,780.3333333333335,133.0
185,778.1111111111112,136.0
186,776.0000000000002,137.0
187,774.0000000000002,138.0
188,771.8333333333334,139.0
189,769.7777777777778,140.0
